Unnamed: 0,Center A,Center B,Center C,Center D
VN,r = 0.19 (< 0.01)R2 = 0.035,r = − 0.05 (0.43)R2 = 0.003,r = − 0.21 (0.03)R2 = 0.044,r = − 0.15 (0.56)R2 = 0.022
SMN,r = 0.08 (0.13)R2 = 0.007,r = 0.05 (0.47)R2 = 0.002,r = − 0.06 (0.57)R2 = 0.003,r = 0.38 (0.12)R2 = 0.146
DAN,r = 0.08 (0.18)R2 = 0.006,r = 0.15 (0.03)R2 = 0.022,r = − 0.04 (0.69)R2 = 0.002,r = 0.01 (0.97)R2 = 0.0001
VAN,r = 0.16 (< 0.01)R2 = 0.024,r = 0.14 (0.04)R2 = 0.018,r = − 0.01 (0.90)R2 = 0.0002,r = 0.52 (0.03)R2 = 0.266
LN,r = 0.03 (0.65)R2 = 0.001,r = − 0.13 (0.05)R2 = 0.017,r = − 0.11 (0.24)R2 = 0.013,r = 0.41 (0.09)R2 = 0.171
FPN,r = 0.05 (0.40)R2 = 0.002,r = 0.07 (0.27)R2 = 0.005,r = 0.08 (0.41)R2 = 0.007,r = 0.01 (0.96)R2 = 0.0001
DMN,r = 0.10 (0.07)R2 = 0.010,r = 0.07 (0.26)R2 = 0.005,r = 0.09 (0.33)R2 = 0.009,r = 0.23 (0.36)R2 = 0.052
ALFF,r = − 0.06 (0.30)R2 = 0.003,r = 0.28 (< 0.01)R2 = 0.078,r = − 0.24 (0.01)R2 = 0.056,r = 0.21 (0.40)R2 = 0.044
ReHo,r = 0.28 (< 0.01)R2 = 0.080,r = 0.31 (< 0.01)R2 = 0.096,r = − 0.08 (0.39)R2 = 0.007,r = 0.20 (0.42)R2 = 0.040
DC,r = 0.21 (< 0.01)R2 = 0.044,r = 0.23 (< 0.01)R2 = 0.053,r = − 0.04 (0.68)R2 = 0.002,r = 0.14 (0.59)R2 = 0.019
