Unnamed: 0,Center A,Center B,Center C,Center D,Unnamed: 5
Gray matter,Gray matter,Gray matter,Gray matter,Gray matter,
Patients (MS),437 ± 57,466 ± 51,454 ± 45,451 ± 51,
Controls (HCs),476 ± 54,489 ± 51,482 ± 48,480 ± 51,
p (t value),6.4 \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× 10–9 (− 6.09),5.5 \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× 10–4 (− 3.51),5.3 \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× 10–3 (− 2.88),0.087 (− 1.77),
White matter,White matter,White matter,White matter,White matter,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}×
Patients,406 ± 52,370 ± 36,390 ± 43,375 ± 39,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}×
Controls,423 ± 51,382 ± 41,401 ± 39,396 ± 47,
p (t value),5.4 \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× 10–3 (− 2.81),0.018 (− 2.38),0.20 (− 1.30),0.18 (− 1.36),
Cerebrospinal fluid,Cerebrospinal fluid,Cerebrospinal fluid,Cerebrospinal fluid,Cerebrospinal fluid,
Patients,392 ± 62,408 ± 48,402 ± 52,411 ± 50,
Controls,373 ± 48,392 ± 46,392 ± 44,392 ± 48,
p (t value),2.2 \documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\times$$\end{document}× 10–3 (3.10),0.011 (− 2.55),0.31 (1.02),0.28 (1.10),
Lesion load,5.18 ± 7.24,4.38 ± 6.29,3.60 ± 4.89,4.71 ± 4.42,
