Brain region,BA,Cluster size (voxels),Peak MNI coordinates (mm),Peak MNI coordinates (mm),Peak MNI coordinates (mm),T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1
Static functional connectivity,Static functional connectivity,Static functional connectivity,Static functional connectivity,Static functional connectivity,Static functional connectivity,
Right pre/postcentral gyrus,4/3,87,56,–19,39,3.1934
Precuneus,19,306,24,–75,36,4.5864
Left fusiform gyrus,37,120,–39,–45,–24,6.4808
Posterior cingulate gyrus,29,144,3,–42,15,–4.1386
Left inferior parietal lobule,39,104,–42,–63,48,–4.3236
Dynamic functional connectivity,Dynamic functional connectivity,Dynamic functional connectivity,Dynamic functional connectivity,Dynamic functional connectivity,Dynamic functional connectivity,
Window 1,Window 1,Window 1,Window 1,Window 1,Window 1,
Left thalamus,,92,–3,–12,9,–3.9233
Left inferior parietal lobule,40,123,–42,–60,48,–4.1469
Window 2,Window 2,Window 2,Window 2,Window 2,Window 2,
Posterior cingulate,,153,12,–39,12,–4.0102
window 3,window 3,window 3,window 3,window 3,window 3,
Left medial superior frontal gyrus,8,87,–9,33,51,3.9604
Window 4,Window 4,Window 4,Window 4,Window 4,Window 4,
Middle occipital gyrus/cuneus,18,448,30,–99,0,5.4572
Window 5,Window 5,Window 5,Window 5,Window 5,Window 5,
Left precentral gyrus,6,102,–42,0,60,3.7038
Paracentral lobule,5,201,0,–39,51,4.1413
Left cuneus/precuneus,18,795,–21,–93,15,6.0536
Right precuneus,7,377,21,–78,39,4.9914
Right superior frontal gyrus,9,184,24,30,36,3.4375
Left superior frontal gyrus,9,113,–39,36,36,3.7198
Right superior temporal gyrus,39,92,48,–54,15,4.5806
Window 6,Window 6,Window 6,Window 6,Window 6,Window 6,
Right postcentral/precentral gyrus,6/4,441,45,–54,60,5.0194
Left postcentral/precentral gyrus,6/4,248,–42,–24,63,4.6705
Precuneus/cuneus,7,1239,–18,–72,45,4.9855
Left inferior frontal operculum,45,245,–42,21,18,4.6498
Left middle occipital gyrus,19,218,–6,–105,6,7.2442
Window 7,Window 7,Window 7,Window 7,Window 7,Window 7,
Paracentral lobule/postcentral gyrus,5,252,12,–39,54,5.0432
Precuneus/cuneus,18,375,–12,–66,–3,4.4948
Right middle frontal gyrus,10,348,57,27,30,5.0111
Right inferior frontal gyrus,38,163,27,18,–24,4.9059
Left inferior frontal gyrus,45,258,–54,36,3,5.2874
Left superior temporal gyrus,38,272,–39,15,–21,5.5615
Left middle temporal gyrus,22,401,–57,–42,6,4.6347
Left fusiform gyrus,37,855,–42,–48,–24,502446
Brainstem,NS,85,–6,–24,–33,403195
