Unnamed: 0_level_0,Group,Group,t,P value*
Unnamed: 0_level_1,RA (n = 19),SA (n = 15),Unnamed: 3_level_1,Unnamed: 4_level_1
Age (years),25.37 ± 2.41,24.20 ± 2.01,1.51,0.141
Height (cm),160.68 ± 4.10,159.33 ± 4.75,0.92,0.365
Weight (kg),51.11 ± 4.36,50.50 ± 4.38,0.40,0.691
Illness duration (months),98.68 ± 45.75,87.53 ± 29.26,0.82,0.419
VAS-A,6.20 ± 1.06,5.91 ± 1.22,0.69,0.493
VAS-B,3.65 ± 1.04,4.45 ± 1.29,–1.89,0.069
VAS(B-A),−2.55 ± 1.32,−1.45 ± 1.13,–2.33,0.027
VAS(B-A)/A,−0.41 ± 0.17,−0.25 ± 0.17,–2.74,0.01
