Unnamed: 0_level_0,Full Sample,Full Sample,Unnamed: 3_level_0,Unnamed: 4_level_0,UNMC,Unnamed: 6_level_0,Unnamed: 7_level_0,MRN,Unnamed: 9_level_0,Comparison,Comparison
Variable,n,%,Unnamed: 3_level_1,n,%,Unnamed: 6_level_1,n,%,Unnamed: 9_level_1,χ2,p
"Sex, male",96,51,,46,50,,50,52,,0.08,0.77
Race,,,,,,,,,,,
White,161,85,,78,84,,83,86,,,
Black / AA,5,3,,3,3,,2,2,,,
AI / AN,6,3,,0,0,,6,6,,,
MR,10,9,,11,13,,6,6,,,
U/NR,8,3,,6,7,,2,2,,,
Ethnicity (HL/NHL/U),21/161/8,11/85/4,,8/84/1,8/91/1,,37/60/0,38/62/0,,22.57,< .001
,Mean,SD,Range,Mean,SD,Range,Mean,SD,Range,t-score,p
Age Time 1,11.89,1.74,8.20–15.12,11.98,1.60,9.03–14.94,11.81,1.88,8.20–15.12,0.67,.51
Age Time 2,13.04,1.77,9.18–17.48,13.01,1.60,9.99–15.99,13.07,1.94,9.18–17.48,-0.19,.85
Age Time 3,13.94,1.77,10.98–17.42,13.93,1.63,10.98–16.99,13.96,1.93,11.14–17.42,-0.08,.94
DEP Time 1,3.23,2.74,0–11,2.84,2.70,0–11,3.70,2.73,0–11,-2.16,.03
PTS Time 1THP Time 1,6.102.25,4.661.90,0–220–10,5.362.32,4.042.00,0–170–10,6.792.18,5.091.81,0–220–7,-2.130.53,.04.60
DMN Time 1,.48,.10,.24-.74,.47,.08,.28-.63,.48,.11,.24-.74,-0.69,.49
DMN Time 2,.45,.11,.12-.70,.45,.09,.20-.68,.46,.12,.12-.70,-0.29,.77
DMN Time 3,.41,.13,.12-.63,.40,.11,.15-.59,.4,.15,.12-.63,-0.48,.63
MT Time 1,.69,.10,.41-.97,.69,.10,.49-.97,.68,.11,.41-.96,0.73,.47
MT Time 2,.64,.13,.25-.89,.66,.13,.25-.89,.63,.13,.27-.88,1.29,.20
MT Time 3,.61,.16,.15-.95,.61,.15,.15-.95,.61,.16,.27-.84,-0.02,.98
Core Time 1,.61,.11,.28-.66,.61,.09,.40-.81,.62,.12,.28-.86,-0.54,.59
Core Time 2,.58,.13,.11-.92,.58,.12,.28-.92,.58,.14,.11-.92,0.25,.80
Core Time 3,.53,.17,.17-.84,.52,.14,.19-.77,.54,.18,.17-.84,-0.63,.53
dmPFC Time 1,.53,.10,.29-.77,.52,.09,.30-.67,.53.,10,.29-.77,-0.42,.67
dmPFC Time 2,.50,.12,.16-.72,.50,.11,.18-.72,.51,.12,.16-.72,-0.52,.61
dmPFC Time 3,.45,.15,.12-.69,.46,.13.,17-.65,.45,.16,.12-.69,0.25,.81
