Brain regions,# voxels,Coordinatesin MNI,Peakt-values
CM > NC,CM > NC,CM > NC,CM > NC
Cluster 1 (C1),75,"[63, −57, −18]",5.6798
BA20_R/BA21_R,36/22,,
Temporal_Mid_R (AAL),34,,
Temporal_Inf_R (AAL),31,,
Cluster 3 (C3),50,"[−6, 66, 6]",6.0234
BA10_L,41,,
Frontal_Sup_Medial_L (AAL),38,,
Cluster 5 (C5),55,"[−33, −69, 27]",6.4373
BA39_L,39,,
Angular_L (AAL),18,,
Superior temporal gyrus,17,,
Cluster 6 (C6),96,"[33, 24, 36]",5.5423
BA8_R/BA7_R/BA46_R,34/24/14,,
Frontal_Mid_R (AAL),51,,
Frontal_Sup_R (AAL),43,,
Middle frontal gyrus,54,,
Cluster 8 (C8),80,"[−12, 15, 63]",5.5541
BA6_L/BA8_L,34/26,,
Supp_Motor_Area_L (AAL),39,,
Superior frontal gyrus,68,,
CM < NC,CM < NC,CM < NC,CM < NC
Cluster 2 (C2),53,"[−36, −66, 3]",−6.3571
BA37_L,48,,
Temporal_Inf_L (AAL),10,,
Occipital_Inf_L (AAL),10,,
Cluster 4 (C4),38,"[−57, −15, 9]",−5.1355
BA22_L/BA48_L,15/17,,
Temporal_Sup_L (AAL),37,,
Cluster 7 (C7),37,"[−42, −24, 36]",−4.7642
BA3_L,16,,
Parietal_Inf_L (AAL),15,,
Postcentral_L (AAL),12,,
