Unnamed: 0,D-PD (n = 59),ND-PD (n = 97),HC (n = 45),P value
Age (years),57.6 ± 10.7 (41 - 75),61.2 ± 9.5 (44 - 79),59.4 ± 10.0 (45 - 75),"0.092???,???"
Sex (M/FM),28/31,51/46,24/21,0.77???
PD duration (years),9.5 ± 2.9 (5 - 14),7.8 ± 2.4 (5 - 12),,0.001???
LEDD,1056.4 ± 483.6 (250 - 1750),1004.8 ± 452.9 (250 - 1750),,0.43???
UPDRS III,46.4 ± 15.2 (30 - 81),44.6 ± 13.5 (23.5 - 76),,0.48???
HDRS,24.1 ± 10.5 (12 - 54),13.9 ± 6.7 (2 - 24),6.7 ± 4.6 (0 - 15),"< 0.001???,???"
BDI,21.5 ± 11.1 (9 - 48),8.1 ± 6.2 (2 - 20),4.9 ± 3.5 (0 - 12),"< 0.001???,???"
PSQI,15.7 ± 8.4 (4 - 34),14.2 ± 7.6 (2 - 32),12.7 ± 6.7 (1 - 26),"0.14???,???"
MoCA,23.1 ± 5.4 (14 - 30),24.2 ± 4.6 (15 - 30),26.9 ± 2.4 (26 - 30),"< 0.001???,???"
MMSE,26.9 ± 3.1 (20 - 30),27.6 ± 2.8 (22 - 30),28.2 ± 2.1 (26 - 30),"0.065???,???"
