Cerebellar network,Cerebellar seed,Code,"MNI (x, y, z)"
Executive control network,L Crus IECN1,ROI1,"-12, -78, -28"
,R Crus IECN1,ROI2,"12, -78, -28"
,L Crus IIECN2,ROI3,"-36, -70, -46"
,R Crus IIECN2,RIO4,"36, -68, -44"
,L Lobule VIECN3,ROI5,"-36, -52, -34"
,R Lobule VIECN3,ROI6,"36, -52, -34"
Default-mode network,L Crus IDMN,ROI7,"-32, -76, -34"
,R Crus IDMN,ROI8,"34, -80, -36"
Affective-limbic network,R Lobule VILN,ROI9,"26, -64, -34"
,L Lobule VILN,ROI10,"-26, -64, -34"
,L VermisLN,ROI11,"-4, -80, -34"
Sensorimotor network,R Lobule VSMN,ROI12,"22, -52, -22"
,L Lobule VSMN,ROI13,"-20, -50, -24"
