IC no.,GM,WM,CSF,Accepted,Best match
1,0.2,0.09,0.08,Yes,Medial visual network (r = 0.78)
2,0.14,0.03,0.15,No,
3,0.21,0.05,0.17,Yes,Occipital pole (r = 0.36)
4,0.19,0.01,0.25,No,
5,0.27,0.08,0.13,Yes,Audial network (r = 0.69)
6,0.24,0.17,0.21,No,
7,0.21,0.12,0.08,Yes,Right frontoparietal network (r = 0.71)
8,0.16,0.03,0.31,No,
9,0.28,0.13,0.07,Yes,Lateral visual network (r = 0.59)
10,0.18,0.1,0.08,Yes,Default mode network (r = 0.75)
11,0.23,0.17,0.11,Yes,Executive control network (r = 0.64)
12,0.22,0.11,0.11,Yes,"Default mode network (r = 0.31), left frontoparietal network (r = 0.29)"
13,0.22,0.2,0.14,Yes,Sensorimotor network (r = 0.66)
14,0.26,0.17,0.22,Yes,—
15,0.22,0.17,0.1,Yes,Left frontoparietal network (r = 0.75)
16,0.24,0.15,0.17,Yes,Default mode network (r = 0.39)
17,0.25,0.17,0.11,Yes,—
