RFC,Voxel,Xcm,Ycm,Zcm,β (103),r,p(10–3),Annotation
CDI,736.0,+ 0.7,–45.4,+ 24.2,6.511,0.603,<0.01,Superior amd MFG
,663.0,–6.0,+ 5.6,–19.3,–13.43,–0.469,<0.01,Caudate/putamen
,100.0,+ 0.7,+ 48.4,+ 30.8,–14.14,–0.325,<0.01,Precuneus
,99.0,+ 56.3,+ 16.8,–16.2,–11.04,–0.412,<0.01,L-ITG
,86.0,–45.9,–10.2,+ 6.6,–10.81,–0.387,<0.01,R-insular cortex
,63.0,–2.7,+ 33.0,+ 66.3,11.48,0.306,<0.01,r-postcentral gyrus
,49.0,–58.3,+ 15.3,–16.8,–10.83,–0.408,<0.01,R-ITG
CDIN,243.0,–0.0,+ 52.4,+ 29.9,–14.78,–0.381,<0.01,PCC
,124.0,–2.3,+ 28.5,+ 58.3,11.49,0.354,<0.01,Primary motor cortex
,98.0,–48.4,+ 47.3,+ 42.1,–14.41,–0.426,<0.01,R-IPL
,96.0,–40.1,+ 25.2,+ 55.8,12.09,0.327,<0.01,R-postcentral gyrus
,85.0,+ 20.5,–2.2,–20.7,10.52,0.423,<0.01,L-piriform cortex
,83.0,–44.3,–13.1,+ 3.1,–16.74,–0.375,<0.01,R-insular cortex
,56.0,–27.3,–6.6,–31.4,10.12,0.403,<0.01,R-fusiform gyrus
,54.0,+ 40.8,+ 25.1,+ 57.6,10.00,0.302,<0.01,L-postcentral gyrus
,39.0,+ 38.1,–12.3,+ 4.2,–13.85,–0.381,<0.01,L-insular cortex
,37.0,+ 57.0,+ 9.2,+ 30.8,10.72,0.315,<0.01,L-postcentral gyrus
,36.0,+ 47.6,+ 19.1,+ 6.2,8.68,0.376,<0.01,L-STG
,36.0,–7.6,–14.3,+ 40.1,–11.73,–0.349,<0.01,ACC
,31.0,–47.2,+ 21.0,+ 8.2,8.32,0.382,<0.01,R-STG
,804.0,+ 2.0,–45.3,+ 24.8,–13.14,–0.476,<0.01,Superior and MFG
,485.0,+ 1.1,+ 8.r05,–5.0,5.69,0.577,<0.01,Caudate/putamen
CDIP,92.0,+ 55.9,+ 14.2,–18.2,–10.23,–0.400,<0.01,L-ITG
,50.0,–30.2,–9.1,–33.3,7.53,0.388,<0.01,R-ITG
,30.0,+ 0.6,+ 46.2,+ 33.2,–12.87,–0.303,<0.01,PCC
CDINCDI,23.0,–28.7,–8.5,–32.1,10.81,0.372,<0.01,R-parahippocampal (CDIN)
,,,,,7.186,0.376,<0.01,R-parahippocampal (CDIP)
,23.0,+ 0.2,+ 47.2,+ 33.3,–17.27,–0.330,<0.01,PCC (CDIN)
,,,,,–12.96,–0.303,<0.01,PCC (CDIP)
