Characteristics,Groups,Groups,Groups,p
Unnamed: 0_level_1,HCs n = 16,MTLE n = 14,BECT n = 12,Unnamed: 4_level_1
Male: Female (n),6:10,5:9,5:7,0.95
Age (years),Age (years),Age (years),Age (years),Age (years)
Mean ± SD,27.1 ± 4.8,35.36 ± 17.2,10.42 ± 4.5,<0.001
Epilepsy Duration,Epilepsy Duration,Epilepsy Duration,Epilepsy Duration,Epilepsy Duration
(years),(years),(years),(years),(years)
Mean ± SD,,17.28 ± 8.16,4.62 ± 4.1,<0.001
Seizure type (n),Seizure type (n),Seizure type (n),Seizure type (n),Seizure type (n)
SPS: CPS: SGTCS,,1:12:1,2:5:5,0.06
Interictal EEG (n),Interictal EEG (n),Interictal EEG (n),Interictal EEG (n),Interictal EEG (n)
BCT: +CFT: +CPT,,—,7:3:2,
Sph1: Sph2,,7:7,—,
