Network,LH mean (SD),RH mean (SD),Corrected p value
DMN-A,82.76 (5.84),81.85 (5.5),> 0.1
DMN-B,77.62 (6.2),74.69 (6.88),.000***
Control-B,73.29 (7.51),67.39 (7.44),.000***
DMN-C,64.75 (9.98),66.05 (10.4),> 0.1
Limbic-B,67.51 (10.38),62.74 (9.54),.000***
Control-C,59.6 (12.14),59.41 (11.38),> 0.1
Limbic-A,54.66 (9.51),59.22 (8.53),.000***
Control-A,52.37 (7.54),52.76 (7.59),> 0.1
Salience/VAN-B,50.67 (9.18),49.85 (9.18),> 0.1
Temporo-parietal,48.74 (11.07),50.14 (10.37),> 0.1
DAN-A,39.03 (8.61),35.84 (8.35),.000***
Salience/VAN-A,35.94 (7.37),33.38 (7.29),.000***
DAN-B,34.11 (7.57),31.07 (7.3),.000***
Somatomotor-B,29.47 (7.33),29.03 (7.38),> 0.1
Somatomotor-A,29.56 (7.29),28.51 (7.47),> 0.1
Visual peripheric,18.84 (8.96),19.69 (8.73),> 0.1
Visual central,19.11 (6.57),19.48 (7.04),> 0.1
