Criteria – Region,Group comparison,Post-hoc analysis,Post-hoc analysis,Post-hoc analysis
Criteria – Region,Group comparison,DOF,T-value,p-value
Total WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. lw-o,89,0.7045,0.4854
Total WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. hw-no,105,−0.7001,0.4854
Total WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. hw-o,88,−3.0994,0.0079
Total WMHs – R. Orbitofrontal cortex (A12/47o),lw-o vs. hw-no,90,−1.2965,0.297
Total WMHs – R. Orbitofrontal cortex (A12/47o),lw-o vs. hw-o,73,−3.3121,0.0079
Total WMHs – R. Orbitofrontal cortex (A12/47o),hw-no vs. hw-o,89,−2.466,0.0312
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. lw-o,89,0.7045,0.4854
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. hw-no,105,−0.7001,0.4854
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),lw-no vs. hw-o,84,−3.0994,0.0079
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),lw-o vs. hw-no,94,−1.2965,0.297
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),lw-o vs. hw-o,73,−3.3121,0.0079
Periventricular WMHs – R. Orbitofrontal cortex (A12/47o),hw-no vs. hw-o,89,−2.466,0.0312
Periventricular WMHs – L. Orbitofrontal cortex (A11),lw-no vs. lw-o,89,0.5863,0.671
Periventricular WMHs – L. Orbitofrontal cortex (A11),lw-no vs. hw-no,105,1.0159,0.468
Periventricular WMHs – L. Orbitofrontal cortex (A11),lw-no vs. hw-o,84,−1.4756,0.2876
Periventricular WMHs – L. Orbitofrontal cortex (A11),lw-o vs. hw-no,94,0.3010,0.7641
Periventricular WMHs – L. Orbitofrontal cortex (A11),lw-o vs. hw-o,73,−2.0591,0.1291
Periventricular WMHs – L. Orbitofrontal cortex (A11),hw-no vs. hw-o,89,−2.8289,0.0346
