Unnamed: 0,1. CIS (n=24),2. RR-MS (n=29),3. HC (n=39),1 vs 2,p value1 vs 3,p value2 vs 3
Age (years),38.3 (8.7),38.0 (6.1),41.2 (15.1),0.91,.2,.15
Education (years),11.8 (3.1),13.3 (3.7),14.1 (2.5),0.11,.1,.5
Females,20 (83.3%),23 (79.3%),27 (69%),0.82,.3,.8
EDSS,1.3 (0.7),3.1 (1.4),--,<0.0014,--,--
(Range),0–2.5,0.5–6.0,--,--,--,--
Illness duration (years),4.3 (2.9),8.2 (5.6),--,0.0021,--,--
(Range),1–8,1–15,--,--,--,--
Number of relapses,0,3.6 (3.7),--,<0.0014,--,--
(Range),-,0-14,--,--,--,--
Total IC volume (cm3),1333.7 (146.4),1356.4 (123.4),1387.5 (140.4),0.51,.2,.4
Total GM volume (cm3),668.0 (83.0),659.9 (62.1),684.1 (60.2),0.53,.3,.1
Total WM volume (cm3),503.8 (61.0),471.9 (70.5),499.5 (43.3),0.073,.5,0.06
Total lesion volume (cm3),4.5 (6.1),11.6 (15.9),--,0.033,--,--
