Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,2.37,2.72,13,3.19,2.9,25,3.23,2.96
2,4.16,2.86,14,2.96,3.2,26,3.42,2.89
3,2.38,3.12,15,3.46,3.1,27,2.73,3.13
4,4.27,3.14,16,4.2,3.16,28,2.44,2.92
5,3.99,2.98,17,3.12,3.02,29,3.98,3.06
6,2.64,2.79,18,2.67,3.14,30,2.56,2.84
7,2.51,3.01,19,4.01,3.12,31,2.64,2.93
8,3.4,2.76,20,4.31,2.83,32,4.37,3.0
9,2.46,3.01,21,3.21,2.94,33,3.22,2.96
10,4.57,2.91,22,4.63,2.94,34,3.77,3.09
11,4.02,2.93,23,3.44,2.83,35,3.58,2.68
12,3.68,3.13,24,3.64,2.96,36,3.78,2.75
