Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,0.82,0.61,13,0.9,0.58,25,0.65,1.24
2,0.6,0.58,14,0.79,0.89,26,0.6,1.06
3,0.68,1.31,15,0.86,0.96,27,0.81,0.73
4,0.94,1.12,16,0.58,0.84,28,0.54,0.64
5,0.73,0.74,17,0.6,0.91,29,0.63,0.64
6,0.64,1.28,18,0.91,1.4,30,0.71,0.9
7,0.72,0.74,19,0.95,0.99,31,0.58,0.87
8,0.57,0.97,20,0.92,1.08,32,0.93,1.41
9,0.69,0.66,21,0.57,0.87,33,0.72,0.66
10,0.72,0.7,22,0.57,1.09,34,0.8,1.35
11,0.91,0.92,23,0.63,1.23,35,0.69,1.02
12,0.86,1.23,24,0.81,1.14,36,0.5,1.15
