Number,PCS group,Control group,Number.1,PCS group.1,Control group.1,Number.2,PCS group.2,Control group.2
1,2.03,3.1,13,1.94,3.08,25,1.96,2.63
2,1.97,3.02,14,1.98,2.69,26,2.02,3.2
3,2.01,2.62,15,2.02,2.71,27,2.03,3.01
4,2.07,2.73,16,2.05,2.8,28,1.96,2.93
5,1.96,2.9,17,2.06,2.67,29,1.94,2.69
6,2.01,2.75,18,2.04,3.18,30,1.99,2.65
7,2.05,2.84,19,2.06,3.13,31,1.96,2.95
8,2.02,2.71,20,1.99,2.71,32,1.99,2.84
9,2.02,3.1,21,2.04,2.95,33,2.06,2.77
10,2.03,2.68,22,2.02,2.79,34,2.05,2.59
11,1.94,2.6,23,1.95,2.76,35,1.96,2.68
12,2.01,2.88,24,1.98,2.92,36,1.95,2.79
