Unnamed: 0,MDD(N = 36),HCs(N = 61),P
"Age (years, mean ± SD)",27.5 ± 5.88,26.16 ± 4.38,0.21a
"Age (years, range)",18–46,19–40,
Gender (male/female),11/25,22/39,0.66b
Education (H/U/G),5/24/7,4/40/17,0.37b
Number of previous episodes,1.64 ± 1.29,–,–
Baseline headmotion (mean FD),0.16 ± 0.07,0.13 ± 0.07,0.74c
Follow-up headmotion (mean FD),0.15 ± 0.09,0.14 ± 0.09,0.74c
Baseline PHQ-9,17.58 ± 4.8,2.23 ± 1.9,<0.001c
Follow-up PHQ-9,6.31 ± 5.71,1.41 ± 1.4,<0.001c
Baseline HAMD-17,21.86 ± 3.25,–,<0.001a
Follow-up HAMD-17,8.11 ± 5.04,–,<0.001a
