Region,MNI coordinates,MNI coordinates,MNI coordinates,Region,MNI coordinates,MNI coordinates,MNI coordinates,MDD baseline (mean ± SD),MDD week 12 (mean ± SD),HCs baseline (mean ± SD),HCs week 12 (mean ± SD),F interaction (P)
Region,(x,y,z),Region.1,(x.1,y.1,z).1,MDD baseline (mean ± SD),MDD week 12 (mean ± SD),HCs baseline (mean ± SD),HCs week 12 (mean ± SD),F interaction (P)
Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem,Within core subsystem
IPL.L,−44,−68,37,PFCm.L,−8,51,4,0.48 ± 0.23,0.54 ± 0.27,0.58 ± 0.22,0.52 ± 0.26,5.57 (0.02)
PFCm.L,−8,51,4,Temp.L,62,−5,−17,0.34 ± 0.27,0.54 ± 0.22,0.44 ± 0.31,0.46 ± 0.28,11.38 (<0.01)
PFCm.L,−8,51,4,IPL.L,51,−57,29,0.35 ± 0.26,0.47 ± 0.20,0.45 ± 0.24,0.42 ± 0.27,6.36 (0.01)
pCunPCC.L,−5,−51,31,PFCd.L,23,35,43,0.45 ± 0.22,0.55 ± 0.34,0.57 ± 0.21,0.52 ± 0.26,6.73 (0.01)
PFCm.L,−8,51,4,PFCd.L,23,35,43,0.42 ± 0.25,0.56 ± 0.29,0.54 ± 0.20,0.48 ± 0.26,12.12 (<0.01)
PFCm.L,−8,51,4,PFCl.L,7,−51,30,0.51 ± 0.23,0.65 ± 0.23,0.62 ± 0.25,0.61 ± 0.31,6.16 (0.01)
PFCl.L,7,−51,30,PFCv.L,7,49,5,0.62 ± 0.26,0.78 ± 0.26,0.74 ± 0.25,0.73 ± 0.29,6.54 (0.01)
Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem,Core-dMPFC subsystem
Temp.L,62,−5,−17,IPL.L,−56,−12,−18,0.73 ± 0.22,0.86 ± 0.25,0.83 ± 0.27,0.81 ± 0.22,6.52 (0.01)
IPL.L,51,−57,29,PHC.L,−8,44,42,0.32 ± 0.21,0.48 ± 0.23,0.46 ± 0.25,0.48 ± 0.21,7.26 (0.01)
IPL.L,−44,−68,37,Temp.R,−40,13,50,0.63 ± 0.31,0.72 ± 0.33,0.76 ± 0.31,0.69 ± 0.28,6.50 (0.01)
Temp.L,62,−5,−17,Temp.R,−40,13,50,0.23 ± 0.22,0.36 ± 0.25,0.37 ± 0.29,0.35 ± 0.25,5.93 (0.02)
Temp.L,62,−5,−17,IPL.R,−47,26,−2,0.19 ± 0.22,0.31 ± 0.25,0.31 ± 0.25,0.28 ± 0.17,7.37 (0.01)
PFCd.L,23,35,43,PFCd.R,62,−26,−5,0.18 ± 0.25,0.29 ± 0.25,0.31 ± 0.25,0.25 ± 0.28,6.73 (0.01)
PFCl.L,7,−51,30,PFCd.R,62,−26,−5,0.30 ± 0.21,0.40 ± 0.23,0.45 ± 0.24,0.40 ± 0.22,8.20 (0.01)
IPL.L,51,−57,29,PFCm.R,10,48,41,0.55 ± 0.23,0.66 ± 0.25,0.68 ± 0.30,0.67 ± 0.21,5.71 (0.02)
Temp.L,62,−5,−17,Temp.R,46,28,−9,0.28 ± 0.25,0.44 ± 0.22,0.38 ± 0.25,0.40 ± 0.23,5.56 (0.02)
IPL.L,51,−57,29,Temp.R,46,28,−9,0.27 ± 0.24,0.41 ± 0.25,0.35 ± 0.23,0.34 ± 0.22,7.45 (0.01)
dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem,dMPFC-MTL subsystem
IPL.L,−56,−12,−18,Temp.R,46,28,−9,0.40 ± 0.22,0.56 ± 0.28,0.50 ± 0.27,0.51 ± 0.22,5.82 (0.02)
Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem,Core-MTL subsystem
PFCd.L,23,35,43,PHC.R,26,−27,−20,0.15 ± 0.17,0.18 ± 0.20,0.08 ± 0.20,0.23 ± 0.21,6.79 (0.01)
