Anatomical Region,+/−,BA,x,y,z,t,k
“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions,“Task-Positive” Regions
ACC,+,24/32,−4,24,30,4.69,514
L Anterior Insula,+,,−34,14,10,6.52,530
R Anterior Insula,+,,34,20,8,4.39,42
L MFG,+,9/46,−32,42,18,4.53,364
R MFG,+,9/46,28,42,22,3.91,48
R Putamen,+,,22,8,−8,4.32,109
L Cerebellum,+,,−36,−50,−32,5.99,341
R Cerebellum,+,,38,−56,−28,5.97,773
“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions,“Task-Negative” Regions
R MTGa,−,21,56,−4,−12,9.99,18365
R TPa,−,38,58,4,−12,9.52,
R STGa,−,22,62,−28,12,8.67,
L STGa,−,22,−58,−28,6,9.38,
L dSFGa,−,8,−18,36,46,6.12,
R dSFGa,−,8,20,22,42,6.85,
L IFG (triangularis)a,−,45,−48,20,24,7.20,
R IFG (triangularis)a,−,45,40,16,24,6.26,
L IFG (orbitalis)a,−,47,−54,32,10,5.79,
R IFG (orbitalis)a,−,47,54,36,6,7.35,
L Lateral OFCa,−,11,−40,34,−10,4.26,
R Lateral OFCa,−,11,30,34,−12,5.75,
L Hippocampusa,−,,−28,−40,−14,7.90,
R Hippocampusa,−,,22,−38,−12,4.58,
Rectal Gyrusa,−,11,0,18,−6,5.60,
Medial OFCa,−,11,−4,42,−6,5.35,
vmPFCa,−,10/11,2,58,−2,5.15,
amPFCa,−,10,−1,65,8,4.62,
dmPFCa,−,9,8,60,28,5.09,
Precuneusb,−,7,8,−56,18,9.23,32480
L TPb,−,38,−52,−16,−8,8.57,
Calcarine Gyrusb,−,17,−6,−70,20,8.45,
PCCb,−,29/30,6,−46,26,8.12,
