Sex,ROI,Brain area (Atlas),% Atlas covered,# Of voxels
Female (FMCI v FCN),Right Hippocampus,Left Posterior Para Hippocampal Gyrus,89%,346
,,Right Posterior Para Hippocampal Gyrus,89%,283
,,Right Hippocampus,100%,342
,,Left Hippocampus,94%,318
,,Right Amygdala,100%,342
,,Left Amygdala,97%,318
,Left Hippocampus,Left Posterior Para Hippocampal Gyrus,91%,354
,,Right Posterior Para Hippocampal Gyrus,90%,288
,,Right Hippocampus,98%,684
,,Left Hippocampus,100%,761
,,Right Amygdala,94%,322
,,Left Amygdala,100%,327
Male (MMCI v MCN),Right,Brain Stem,24%,1001
,Hippocampus,Precuneus Cortex,18%,993
,,Left Posterior Para Hippocampal Gyrus,97%,380
,,Right Posterior Para Hippocampal Gyrus,97%,308
,,Right Hippocampus,98%,685
,,Left Hippocampus,100%,760
,,Right Amygdala,100%,342
,,Left Amygdala,100%,327
,Left,Brain Stem,20%,829
,Hippocampus,Precuneus Cortex,20%,1132
,,Left Posterior Para Hippocampal Gyrus,92%,358
,,Right Posterior Para Hippocampal Gyrus,94%,299
,,Right Hippocampus,98%,685
,,Left Hippocampus,100%,760
,,Right Amygdala,99%,337
,,Left Amygdala,100%,327
