Region,x,y,z,Cluster size,T,Z
ALFF,ALFF,ALFF,ALFF,ALFF,ALFF,ALFF
Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients
Right middle frontal gyrus,48,30,27,57,5.41,4.85
Right middle frontal gyrus,51,18,30,57,3.89,3.65
Right middle frontal gyrus,51,33,15,57,3.73,3.52
Right superior frontal gyrus,12,39,51,37,4.56,4.20
Right superior frontal gyrus,12,36,60,37,3.73,3.52
Left superior temporal gyrus,− 54,12,− 3,19,4.40,4.08
Left Inferior frontal gyrus,− 51,15,27,52,4.34,4.03
Left Inferior frontal gyrus,− 39,12,33,52,3.72,3.52
Left inferior temporal gyrus,− 60,− 54,− 9,17,4.22,3.93
Left precentral gyrus,− 48,− 3,42,25,3.94,3.70
Left precentral gyrus,− 45,− 3,30,25,3.81,3.58
ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients
–,–,–,–,–,–,–
ReHo,ReHo,ReHo,ReHo,ReHo,ReHo,ReHo
Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients,Control patients > ADT patients
Left superior occipital gyrus,− 42,− 81,24,27,4.84,4.42
ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients,ADT patients > Control patients
–,–,–,–,–,–,–
