SF-36,Experimental group(N=21)(Mean±SD),Experimental group(N=21)(Mean±SD),Healthy control group(N=19)(Mean±SD),Healthy control group(N=19)(Mean±SD)
Unnamed: 0_level_1,Before,After,Before,After
MH,64.38 ± 16.39,73.52 ± 13.71#,72.63 ± 16.24,75.36 ± 16.18
VT,58.09 ± 16.99*,75.00 ± 15.08#,74.21 ± 14.83,77.89 ± 16.69
PF,85.47 ± 12.64*▴,93.33 ± 8.42#▴,95.79 ± 3.82,97.11 ± 7.13
RP,30.95 ± 37.00*▴,83.33 ± 28.87#▴,88.16 ± 15.29,93.42 ± 18.33
BP,59.71 ± 14.39*▴,68.05 ± 15.16#▴,84.47 ± 21.69,84.00 ± 22.76
GH,45.76 ± 21.52*▴,65.61 ± 19.39#,70.84 ± 21.17,79.15 ± 16.87
SF,71.95 ± 18.45*▴,82.54 ± 15.14#,89.25 ± 16.37,90.01 ± 15.42
RE,36.50 ± 42.03*▴,79.37 ± 30.69#▴,73.68 ± 37.80,91.23 ± 21.78
