Unnamed: 0,Drif_NO,Drif_C,Drif_CR,Sig. (p)
x-axis: mm (×10–2),0.72 ± 0.50,0.26 ± 0.24,0.24 ± 0.22,0.001*
,,,,0.001*
Max value,5.36 ± 3.39,1.45 ± 1.13,2.70 ± 1.95,1.000
y-axis: mm (×10–2),4.34 ± 2.29,0.85 ± 0.57,0.64 ± 0.57,<0.001*
,,,,<0.001*
Max value,18.62 ± 16.39,4.52 ± 2.36,4.64 ± 3.52,
,,,,1.000
z-axis: mm (×10–2),6.15 ± 3.89,1.59 ± 1.63,1.26 ± 1.44,<0.001*
,,,,<0.001*
Max value,28.97 ± 18.13,7.67 ± 5.18,8.62 ± 7.48,
,,,,1.000*
Pitch: degree (×10–3),0.57 ± 0.19,0.13 ± 0.05,0.11 ± 0.06,<0.001*
,,,,<0.001*
Max value,2.95 ± 1.34,0.83 ± 0.38,1.81 ± 2.52,
,,,,1.000
Roll: degree (×10–3),0.25 ± 0.15,0.08 ± 0.08,0.07 ± 0.07,<0.001*
,,,,<0.001*
Max value,1.79 ± 1.41,0.46 ± 0.33,1.08 ± 0.73,
,,,,1.000
Yaw: degree (×10–3),0.16 ± 0.06,0.05 ± 0.03,0.04 ± 0.02,<0.001*
,,,,<0.001*
Max value,1.11 ± 0.47,0.29 ± 0.15,0.41 ± 0.37,
,,,,1.000
