Demographics,Options,Total N,AUD,Control,AUD − Control difference
Gender,M,428.0,128.0,300.0,"χ2 = 28.74, p < 0.001"
Gender,F,498.0,76.0,498.0,
Race,White,700.0,166.0,534.0,"χ2 = 19.56, p = 0.002"
Race,Black/African-American,130.0,15.0,115.0,
Race,Asian/Nat. Hawaiian/Other Pacific Islander,57.0,8.0,49.0,
Race,Other,39.0,15.0,24.0,
Age,Mean,28.84,28.65,28.88,"t(924) = 0.80, p = 0.43"
Age,Standard deviation,3.69,3.38,3.74,
Education,Mean,14.98,14.95,14.99,"t(924) = 0.31, p = 0.76"
Education,Standard deviation,1.77,1.75,1.77,
Income,Mean,5.1,5.0,5.13,"t(924) = 0.78, p = 0.44"
Income,Standard deviation,2.13,2.15,2.13,
AUD symptoms,0,538.0,,,
AUD symptoms,1,184.0,,,
AUD symptoms,2,98.0,,,
AUD symptoms,3,46.0,,,
AUD symptoms,4,43.0,,,
AUD symptoms,5+,17.0,,,
AUD diagnosis,Yes,204.0,,,
AUD diagnosis,No,722.0,,,
