3T,3T,3T,3T,3T,3T,3T,7T,7T,7T,7T,7T,7T,7T
Region,Z,corr,K,x,y,z,Region,Z,corr,K,x,y,z
VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed,VMPFC seed
VMPFC,14.3,<0.05,7300,1.5,−50.5,−6,VMPFC,14.3,<0.05,"146,283",1,−52,−5
PCC,7.2,<0.05,1241,−1.5,54.5,18,PCC,8.1,<0.05,"34,842",4,56,19
Cerebellum,5.6,<0.05,202,−34.5,78.5,−39,OFC,6.1,<0.05,4089,37,−31,−15
Laterial parietal,5.4,<0.05,193,43.5,72.5,39,Cerebellum,5.4,<0.05,3647,32,78,−42
Cerebellum,7.3,<0.05,169,31.5,75.5,−36,Laterial parietal,−5.6,<0.05,3593,29,53,68
Laterial parietal,6.3,<0.05,165,−49.5,60.5,27,Occipital,−5.7,<0.05,2465,10,79,49
Cerebellum,5.9,<0.05,152,−7.5,54.5,−45,Occipital,−6.6,<0.05,1883,−40,81,18
Cerebellum,4.4,<0.05,41,−1.5,57.5,−21,Medial parietal,−5.3,<0.05,1475,−10,68,60
Occipital,4.3,ns,21,25.5,99.5,−12,Laterial parietal,−5.3,<0.05,982,−30,50,44
Temporal,4.1,ns,17,61.5,30.5,−9,Laterial parietal,−4.9,<0.05,946,55,37,43
DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed,DLPFC seed
DLPFC,10.9,<0.05,9145,−28.5,−47.5,33,DLPFC,12.1,<0.05,"167,874",−31,−50,26
Laterial parietal,6.9,<0.05,278,−55.5,45.5,48,Cerebellum,8.9,<0.05,9252,34,54,−36
Laterial parietal,6.5,<0.05,155,52.5,54.5,48,Cerebellum,6.1,<0.05,5887,−40,52,−37
Cerebellum,4.7,<0.05,74,−19.5,42.5,−45,Laterial parietal,5.8,<0.05,4369,58,48,46
Cerebellum,4.2,<0.05,36,10.5,45.5,−42,Laterial parietal,5.4,<0.05,4284,−57,37,46
Medial parietal,5.4,ns,24,−10.5,69.5,45,Medial OFC,−4.8,<0.05,1170,0,−33,−22
Cerebellum,4.1,ns,22,−13.5,78.5,−27,Medial parietal,9.5,<0.05,958,−16,66,38
Occipital,−4.3,ns,14,−28.5,69.5,−9,Occipital,−4.9,<0.05,942,−16,92,−2
,,,,,,,Medial parietal,4.1,ns,816,12,62,51
,,,,,,,Brainstem,5.5,ns,674,7,44,−60
SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed,SMA seed
SMA,11.9,<0.05,9817,−1.5,9.5,66,SMA,16.3,<0.05,"277,708",−1,8,63
Laterial parietal,−5.3,<0.05,140,−37.5,72.5,−48,Laterial parietal,−13.4,<0.05,"17,095",−38,71,44
Cerebellum,−6.8,<0.05,116,43.5,66.5,42,PCC,−7.1,<0.05,"13,951",−8,46,35
DLPFC,6.7,<0.05,79,31.5,−41.5,30,Laterial parietal,−10.6,<0.05,"11,912",33,77,39
Cerebellum,−4.7,<0.05,64,37.5,69.5,−48,Cerebellum,5.8,<0.05,7978,16,45,−25
Cerebellum,5.2,<0.05,43,25.5,54.5,−54,DLPFC,−5.5,<0.05,7850,−31,−9,45
Laterial parietal,−4.7,<0.05,42,−43.5,69.5,42,DLPFC,7.5,<0.05,4739,32,−45,23
Motor Cortex,−6.2,<0.05,40,40.5,−17.5,48,Thalamus,14.3,<0.05,4625,−10,22,2
PCC,−4.1,<0.05,32,−1.5,51.5,36,Thalamus,10.9,<0.05,3803,8,24,2
Thalamus,4.3,<0.05,27,−10.5,18.5,0,DLPFC,−5.9,<0.05,2648,25,−22,50
VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed,VTA seed
VTA,3.3,<0.05,59,−4.5,21.5,−15,VTA,11.1,<0.05,"144,215",−2,19,−16
,,,,,,,ACC/mPFC,8.2,<0.05,"37,531",−4,−27,16
,,,,,,,DLPFC,4.9,<0.05,1568,27,−48,35
,,,,,,,VLPFC,5.9,ns,528,20,−53,6
,,,,,,,Cerebellum,4.1,ns,505,−33,56,−33
,,,,,,,DLPFC,4.3,ns,378,−27,−30,40
,,,,,,,Anterior insula,4.2,ns,264,−41,−9,9
,,,,,,,Medial parietal,4.2,ns,224,−14,1,51
,,,,,,,Posterior insula,4.2,ns,197,45,21,10
,,,,,,,Medial parietal,4.6,ns,186,12,61,40
