Site,ATT,ATV,COI,HUH,HKH,KPU,SWA,KUT,KUS,UTO,YC1,YC2
MRI scanner,Siemens,Siemens,Siemens,GE,Siemens,Philips,Siemens,Siemens,Siemens,GE,Philips,Philips
MRI scanner,TimTrio,Verio,Verio,Signa HDxt,Spectra,Achieva,Verio,TimTrio,Skyra,MR750W,Achieva,Achieva
Magnetic field strength,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T
No. of channels per coil,12,12,12,8,12,8,12,32,32,24,8,8
"FoV, mm",212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212,212 × 212
Matrix,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64
No. of slices,40,39,40,35,35,40,40,40,40,40,40,40
No. of volumes,240,240,240,240,240,240,240,240,240,240,240,240
"In-plane resolution, mm",3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125
"Slice thickness, mm",3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
"Slice gap, mm",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"TR, ms","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
"TE, ms",30,30,30,30,30,30,30,30,30,30,30,30
"Total scan time, min:s",10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
"Flip angle, deg",80,80,80,80,80,80,80,80,80,80,80,80
Slice acquisition order,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending
Phase encoding,PA,PA,AP,PA,PA,AP,PA,PA,AP,PA,AP,AP
Eyes closed/fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated
Field map,✓,✓,✓,—,—,✓,✓,✓,✓,✓,✓,✓
