Site,Site.1,HC,ASD,MDD,OCD,Schizophrenia,Pain,Stroke,Others,Bipolar,Dysthymia,Schizoaffective,All
SWA,"No., M:W","101, 86:15","115, 100:15",—,—,"19, 15:4",—,—,—,—,—,—,"235, 201:34"
SWA,"Age, y",28.4 (7.9),32.1 (7.8),—,—,42.9 (8.4),—,—,—,—,—,—,31.4 (8.7)
HUH,"No., M:W","63, 29:34",—,"57, 32:25",—,—,—,—,—,—,—,—,"120, 61:59"
HUH,"Age, y",34.3 (13.2),—,43.3 (12.2),—,—,—,—,—,—,—,—,38.6 (13.4)
HRC,"No., M:W","49, 13:36",—,"15, 5:10",—,—,—,—,—,—,—,—,"64, 18:46"
HRC,"Age, y",41.7 (11.7),—,38.6 (8.9),—,—,—,—,—,—,—,—,41.0 (11.1)
HKH,"No., M:W","29, 12:17",—,"33, 20:13",—,—,—,—,—,—,—,—,"62, 32:30"
HKH,"Age, y",45.4 (9.5),—,44.8 (11.5),—,—,—,—,—,—,—,—,45.1 (10.5)
COI,"No., M:W","120, 43:77",—,"68, 28:40",—,—,—,—,—,—,—,—,"188, 71:117"
COI,"Age, y",51.7 (13.3),—,44.8 (12.5),,,,,,,,,49.2 (13.4)
KUT,"No., M:W","159, 93:66",—,"16, 10:6",—,"44, 20:24",—,—,—,—,—,"1, 1:0","220, 124:96"
KUT,"Age, y",36.5 (13.6),—,42.6 (12.5),,41.3 (10.9),,,,,,,38.0 (13.1)
KTT,"No., M:W","75, 48:27",—,—,—,"44, 25:19",—,—,—,—,—,"3, 1:2","122, 74:48"
KTT,"Age, y",28.9 (9.1),—,—,—,37.3 (9.7),—,—,—,—,—,,32.4 (10.3)
UTO,"No., M:W","170, 78:92","10, 9:1","62, 36:26",—,"35, 23:12",—,—,"28, 15:13","41, 26:15","4, 3:1",—,"350, 190:160"
UTO,"Age, y",35.6 (17.5),37.0 (9.6),38.7 (11.6),—,31.7 (10.4),—,—,33.5 (13.0),34.2 (9.1),30.3 (16.2),—,35.4 (14.6)
ATT,"No., M:W","31, 28:3",—,—,—,—,—,—,—,—,—,—,"31, 28:3"
ATT,"Age, y",23.0 (1.9),—,—,—,—,—,—,—,—,—,—,23.0 (1.9)
ATV,"No., M:W","77, 60:17",—,—,—,—,—,—,—,—,—,—,"77, 60:17"
ATV,"Age, y",22.7 (2.0),—,—,—,—,—,—,—,—,—,—,22.7 (2.0)
ATP,"No., M:W",—,—,—,"2, 1:1",—,—,—,—,—,—,—,"2, 1:1"
ATP,"Age, y",—,—,—,33.5 (16.3),—,—,—,—,—,—,—,33.5 (16.3)
KPU,"No., M:W",—,—,—,"9, 4:5",—,—,—,—,—,—,—,"9, 4:5"
KPU,"Age, y",—,—,—,30.1 (9.1),—,—,—,—,—,—,—,30.1 (9.1)
OSU,"No., M:W","27, 19:8",—,—,—,—,"37, 24:14","9, 6:3",—,—,—,—,"73, 49:24"
OSU,"Age, y",61.2 (11.8),—,—,—,—,61.1 (9.8),67.7 (5.7),—,—,—,—,61.9 (10.3)
NKN,"No., M:W","2, 2:0",—,—,—,—,"6, 3:3","1, 0:1",—,—,—,—,"9, 5:4"
NKN,"Age, y",59.5 (0.7),—,—,—,—,64.2 (23.2),68.0 (0.0),—,—,—,—,63.6 (18.5)
CIN,"No., M:W","39, 25:14",—,—,—,—,"24, 12:12",—,—,—,—,—,"63, 37:26"
CIN,"Age, y",38.7 (13.5),—,—,—,—,45.5 (11.1),—,—,—,—,—,41.3 (13.0)
Summary,"No., M:W","942, 536:406","125, 109:16","251, 131:120","11, 5:6","142, 83:59","67, 39:28","10, 6:4","28, 5:13","41, 26:15","4, 3:1","4, 2:2","1625, 955:670"
Summary,"Age, y",36.5 (15.5),32.5 (8.0),42.5 (12.1),30.7 (9.8),37.9 (10.8),55.8 (14.0),67.7 (5.4),33.5 (13.0),34.2 (9.1),30.3 (16.2),46.8 (5.7),38.1 (14.7)
