Measures,CMI,Control,P
No. of participants,17 (1 male),18 (1 male),–
"Age, years",32.5 (10.1),37.3 (14.3),0.262???
Years of education,14.2 (2.4),14.2 (2.2),0.865
Tonsillar position,12.6 (4.8),1.4 (1.9),<0.001
No. with syrinx,4,0,–
MPQ pain,26.0 (21.3),6.1 (11.7),<0.001
CSP—Headaches,2.8 (1.0),1.2 (0.7),<0.001
CSP—Neck pain,2.8 (1.4),0.7 (0.7),<0.001
CSP—Arm pain,2.2 (1.5),0.4 (0.9),<0.001
CSP—Back pain,2.5 (1.3),1.2 (1.0),0.005
CSP—Dizziness,1.8 (1.1),0.6 (0.6),<0.001
CSP—Tinnitus,1.8 (1.5),0.4 (0.8),0.004
CSP—Difficulty concentrating,2.2 (1.3),0.9 (0.8),0.003
CSP—Insomnia,2.2 (1.3),0.8 (1.1),0.001
CSP—Chronic fatigue,2.7 (1.4),1.1 (0.9),0.001
CSP—Irritability,2.1 (1.1),0.9 (0.8),0.002
CSP—Forgetfulness,2.0 (1.1),0.4 (0.7),<0.001
CSP—Head pain,2.3 (1.4),0.1 (0.4),<0.001
CSP—Generalized body pain,2.1 (1.7),0.3 (0.7),<0.001
DASS total,19.4 (13.0),8.6 (9.8),0.008
RBANS Attention subscale,90.9 (21.5),114.0 (19.4),0.002*
