Unnamed: 0,TLEIP(N = 12),TLE without IP(N = 28),HCs(N = 30),Value
Gender(M/F),2/10,5/23,5/25,0.963a
Education (years); TLEIP vs. TLE,11.933 ± 2.604,"15 (9.75, 16)","17 (16, 17)",H = 24.468 (P < 0.001)b
,,,,U = 138.000 (P > 0.05)c
MOCA total score;,"27.5 (25.25, 28)","27 (25, 29)","29 (28, 30)",H = 10.619 (P < 0.05)b
TLEIP vs. TLE,,,,U = 160.000 (P > 0.05)c
HAMA scores;,5.58 ± 5.035,"2.5 (1, 7.7)","0 (0, 2)",H = 18.733 (P < 0.001)b
TLEIP vs. TLE,,,,U = 140.500 (P > 0.05)c
HAMD scores;,11.167 ± 7.826,6.607 ± 6.232,"1 (0, 3)",H = 27.474 (P < 0.001)b
TLEIP vs. TLE,,,,t = 1.963 (P > 0.05)d
Age(years),"29 (25, 30)",30 ± 7.369,"25 (23, 30)",H = 2.381 (P > 0.05)b
Epilepsy duration(years),14.167 ± 5.638,"6 (4, 16)",,U = 94.500 (P > 0.05)c
