Unnamed: 0_level_0,rTMS group (n=17),rTMS group (n=17),rTMS group (n=17),Sham group (n=16),Sham group (n=16),Sham group (n=16),Change scores (post-pre),Change scores (post-pre),Change scores (post-pre),Unnamed: 10_level_0
Items,pre,post,P-values,pre,post,P-values,rTMS group,Sham group,P-values,Cohen‘s d
CCAT total score,7.65 ± 2.39,8.42 ± 2.35,<0.001???,6.61 ± 2.18,6.70 ± 2.24,0.245,0.59 ± 0.31,0.09 ± 0.29,<0.001???,1.564
Simple response,7.00 ± 3.37,7.48 ± 3.57,0.003???,5.58 ± 3.02,5.72 ± 3.11,0.572,0.48 ± 0.57,0.14 ± 0.95,0.212,0.419
Expository speech,5.48 ± 2.95,6.17 ± 3.26,0.002???,4.24 ± 2.55,4.42 ± 2.54,0.411,0.69 ± 0.76,0.18 ± 0.86,0.079,0.598
Matching,11.1 ± 1.89,11.4 ± 1.38,0.147,11.5 ± 0.94,11.6 ± 0.78,0.295,0.26 ± 0.72,0.13 ± 0.46,0.513,0.218
Auditory comprehension,7.96 ± 2.41,8.78 ± 2.37,<0.001???,6.95 ± 2.71,7.14 ± 2.92,0.326,0.82 ± 0.77,0.19 ± 0.76,0.027???,0.767
Naming,6.86 ± 3.32,7.28 ± 3.50,0.008???,4.86 ± 3.14,4.76 ± 3.09,0.219,0.42 ± 0.57,−0.10 ± 0.31,0.003???,1.049
Reading comprehension,8.16 ± 2.87,8.85 ± 2.98,0.031???,7.14 ± 2.64,7.11 ± 2.91,0.924,0.69 ± 1.15,−0.02 ± 0.82,0.070,0.666
Repetition,7.26 ± 2.87,7.69 ± 2.89,0.043???,5.64 ± 3.36,5.73 ± 3.26,0.513,0.44 ± 0.82,0.09 ± 0.52,0.158,0.476
Imitation writing,9.54 ± 2.36,10.3 ± 2.52,0.027???,9.01 ± 2.79,8.98 ± 3.04,0.864,0.71 ± 1.17,−0.03 ± 0.72,0.038???,0.721
Spontaneous writing,6.23 ± 2.45,6.6 ± 2.51,0.007???,5.08 ± 2.43,5.31 ± 2.33,0.045???,0.43 ± 0.53,0.23 ± 0.41,0.260,0.395
4-Expression,26.6 ± 1.69,28.6 ± 12.6,<0.001???,20.3 ± 11.1,20.6 ± 11.0,0.502,2.03 ± 1.69,0.31 ± 1.78,0.008???,0.938
3-Comprehension,27.8 ± 1.87,29.4 ± 5.77,0.004???,25.3 ± 5.83,25.6 ± 6.27,0.424,1.58 ± 1.87,0.31 ± 1.39,0.045???,0.73
