Network pair,CT group(N = 65),no-CT group(N = 73),t,Puncorrected,Cohen’s d
SN-aDMN,0.07 ± 0.25,0.12 ± 0.23,−2.692,0.012,-
SN-pDMN,−0.12 ± 0.22,0.01 ± 0.24,−3.188,0.002*,0.56
SN-lCEN,0.15 ± 0.26,0.19 ± 0.25,−1.022,0.308,-
SN-rCEN,0.21 ± 0.25,0.22 ± 0.23,−0.208,0.836,-
aDMN-pDMN,0.43 ± 0.20,0.42 ± 0.20,0.178,0.859,-
aDMN-lCEN,0.31 ± 0.24,0.40 ± 0.23,−2.003,0.047,-
aDMN-rCEN,0.30 ± 0.23,0.34 ± 0.20,−1.839,0.068,-
pDMN-lCEN,0.43 ± 0.22,0.49 ± 0.22,−1.514,0.132,-
pDMN-rCEN,0.42 ± 0.19,0.58 ± 0.20,−4.780,< 0.001*,0.82
lCEN -rCEN,0.85 ± 0.28,0.86 ± 0.22,−0.303,0.762,-
