Cluster peak region,Peak MNI coordinate,Peak intensity,Voxels,Structure
iTBS effect,,,,
Right middle temporal gyrus,39 −54 12,−4.233,222.0,Right fusiform gyrus
,,,120.0,Right middle temporal gyrus
Left middle temporal gyrus,−45 −54 −21,−5.191,370.0,Left middle temporal gyrus
,,,247.0,Left fusiform gyrus
Bilateral precuneus,6 −72 54,4.9912,238.0,Right precuneus
,,,74.0,Left precuneus
cTBS effect,,,,
Left insula,−33 −24 15,−5.2212,170.0,Left sub‐lobar
,,,119.0,Left insula
