Brain region,Hemisphere,BA,MNI coordinates,Peak T value,Cluster size
ALFF,,,,,
Cerebellum posterior lobe,Left,,"−18, −80, −40",5.94,905.0
Cerebellum posterior lobe,Right,,"8, −50, −44",5.79,229.0
Cerebellum posterior lobe,Right,,"22, −76, −38",6.27,2038.0
Caudate,Bilateral,,"−8, −4, 16",4.73,150.0
Posterior cingulate/precuneus,Bilateral,31/23,"0, −56, 16",5.13,452.0
Precuneus,Right,7,"10, −62, 36",4.79,86.0
fALFF,,,,,
Cerebellum posterior lobe,Left,,"−36, −64, −26",5.36,492.0
Cerebellum posterior lobe,Right,,"18, −72, −36",5.61,796.0
Hippocampus,Right,,"34, −38, 2",5.73,102.0
Superior frontal gyrus,Right,10,"4, 68, 0",5.41,190.0
Cingulate gyrus,Bilateral,23,"2, −26, 34",5.43,173.0
Inferior parietal lobule,Left,40,"−36, −50, 42",6.09,134.0
ReHo,,,,,
Cerebellum posterior lobe,Right,,"22, −74, −36",5.96,357.0
Cerebellum posterior lobe,Left,,"−24, −76, −36",4.37,109.0
Middle temporal gyrus,Right,21,"70, −22, −8",5.62,124.0
Superior temporal gyrus,Left,38,"−52, 6, −8",4.89,103.0
Hippocampus/caudate,Left,,"−34, −44, 0",6.28,276.0
Hippocampus/caudate,Right,,"34, −36, 0",6.3,427.0
Middle occipital gyrus,Right,19,"54, −72, 4",4.37,207.0
Caudate,Left,,"−16, 32, 4",4.69,131.0
Cuneus/middle occipital gyrus,Left,18/17,"−18, −82, 14",5.69,219.0
Caudate,Right,18/17,"20, 26, 14",5.43,181.0
Middle temporal gyrus,Left,39,"−36, −60, 16",5.72,173.0
Superior temporal gyrus,Left,13,"−46, −38, 6",4.62,152.0
Cingulate gyrus/precuneus,Bilateral,31/23,"−16, −50, 30",6.12,1406.0
Inferior parietal lobule,Left,40,"−38, −40, 36",4.33,108.0
Cingulate gyrus,Right,31,"14, −30, 40",5.64,203.0
DC,,,,,
Cerebellum posterior lobe,Right,,"16, −72, −36",4.56,167.0
Precentral gyrus/postcentral gyrus,Right,4/3,"56, −8, 24",4.18,161.0
