Graph features,Type of graph features,Brain regions,MNI coordinates,MNI coordinates,MNI coordinates,Resting-state network,ADHD,TD,p-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1
Betweenness centrality,Nodal,Frontal Mid Orb L,−31,50,−10,FPN,16.41 ± 11.53,9.04 ± 4.2,2.79 × 10–3
,Nodal,Cerebellum_10 L,−22,−34,−42,Cerebellum,11.65 ± 9.08,5.74 ± 2.07,1.82 × 10–2
Global efficiency,Global,–,–,–,–,–,0.246 ± 0.011,0.259 ± 0.011,1.89 × 10–8
Local efficiency,Global,–,–,–,–,–,0.350 ± 0.009,0.342 ± 0.010,5.66 × 10–5
Nodal efficiency,Nodal,Rolandic Oper R,53,−6,15,Auditory/cingulo-opercular,0.255 ± 0.023,0.244 ± 0.027,3.17 × 10–2
,Nodal,Supp motor area R,9,0,62,Ventral attention,0.273 ± 0.033,0.266 ± 0.035,2.5 × 10–1
Nodal local efficiency,Nodal,Frontal Sup Orb L,−17,47,−13,FPN,0.339 ± 0.029,0.349 ± 0.030,1.14 × 10–1
,Nodal,Frontal Sup Orb R,18,48,−14,FPN,0.336 ± 0.042,0.347 ± 0.043,1.82 × 10–1
,Nodal,Calcarine L,−7,−79,6,Visual,0.374 ± 0.027,0.368 ± 0.025,2.64 × 10–1
,Nodal,Temporal Pole Mid L,−36,15,−34,DMN,0.359 ± 0.053,0.369 ± 0.036,2.41 × 10–1
Nodal path length,Nodal,Frontal Sup R,22,31,44,FPN,0.741 ± 0.073,0.789 ± 0.272,1.97 × 10–1
,Nodal,Caudate R,15,12,9,subcortical,7.89 ± 4.8,7.64 ± 5.13,8.67 × 10–1
