Unnamed: 0,Acupuncture,Control,Significance
Number of patients,9,7,
Age,60.7 ± 6.3,70.4 ± 8.2,P = 0.042
Gender (M/F),4/5,5/2,
Years of disease,9.4 ± 4.1,9.7 ± 5.4,NS
LEDD,708 ± 311.6,732 ± 370.6,NS
Disease-specific assessment,Disease-specific assessment,Disease-specific assessment,Disease-specific assessment
UPDRS Total,35.7 ± 14.2,36.6 ± 11.8,NS
UPDRS I,2.0 ± 1.7,2.9 ± 1.8,NS
UPDRS II,10.8 ± 4.4,11.7 ± 5.4,NS
UPDRS III,18.2 ± 5.5,20 ± 5,NS
UPDRS IV,4.7 ± 5.1,2.0 ± 2.6,NS
Cognitive and psychological assessment,Cognitive and psychological assessment,Cognitive and psychological assessment,Cognitive and psychological assessment
BDI-II,9.2 ± 5.5,11.1 ± 5.0,NS
PDSS-2,15.7 ± 9.3,8.9 ± 4,NS
PDQ-39,30.8 ± 18.4,31.3 ± 14.5,NS
MMSE,28.4 ± 1.3,26.6 ± 2.2,NS
VAS,5.3 ± 2.6,5.1 ± 3.0,NS
KPPS,21.9 ± 19.8,7.1 ± 5.4,NS
