PANSS,rsFC,r,p
Excited scores,LOFC-right median cingulate,−0.308,0.026???
Excited scores,LOFC-left paracentral lobule,−0.396,0.004**
Excited scores,LOFC-right paracentral lobule,−0.400,0.003**
Excited scores,LOFC-left precentral gyrus,−0.330,0.017???
Excited scores,LOFC-right precentral gyrus,−0.275,0.048???
Excited scores,LOFC-right postcentral gyrus,−0.354,0.01**
Excited scores,LOFC-left postcentral gyrus,−0.417,0.002**
