Region,Cluster (voxel),MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1
Right precentral gyrus,331,60,−3,24,−4.686
Left precentral gyrus,268,−59,0,11,−3.506
Right postcentral gyrus,228,64,−12,22,−4.197
Left postcentral gyrus,227,−62,−19,23,−5.288
Right lingual gyrus,214,15,−50,6,−4.454
Left temporal superior gyrus,209,−53,2,−1,−4.000
Left middle occipital gyrus,185,−33,−91,−3,−3.921
Right calcarine,174,10,−89,9,−3.507
Left orbitofrontal cortex,152,−29,27,−10,−3.694
Right temporal superior gyrus,149,52,−16,7,−4.220
