Component,Neural network,Contrast,Regions,MNI Space (x y z),Voxels,T value,FDR p-value (<0.05)
9.0,SN,BD > MDD,Lateral Occipital Cortex,−18 −70 50,114,4.22,0.005
18.0,DMN,BD > MDD,Inferior Temporal Gyrus,−52 −54 −18,133,4.58,0.026
,,,Inferior Frontal Gyrus,−42 30 10,51,4.26,0.046
10.0,FPN,BD > MDD,Postcentral Gyrus,12 −36 72,167,4.31,0.001
4.0,DMN,BD > MDD,Angular Gyrus,42 −56 58,142,5.42,0.001
31.0,SMN,BD > MDD,Intracalcarine Cortex,4 −74 2,63,4.1,0.048
,,,Occipital Fusiform Gyrus,36 −76 6,50,4.04,0.048
4.0,DMN,MDD > BD,Inferior Temporal Gyrus,46 −56 −4,81,5.42,0.008
4.0,DMN,MDD > BD,Lateral Occipital Cortex,−38 −62 −4,74,4.24,0.001
12.0,SN,MDD > BD,Lateral Occipital Cortex,−38 −88 10,149,4.45,0.001
