References,Sample size,Sample mean age and SD when available,Trauma type,Trauma timing,Imaging type
Adult samples,,,,,
Aupperle et al. (???),14.0,40.07 (SD = 7.44),IPV,Adulthood,fMRI: Cued anticipation task
Aupperle et al. (???),22.0,34.60 (SD = 9.40),IPV,Adulthood,fMRI: Stop/signal Task
Berman et al. (???),62.0,25.21,Sexual assault,Adulthood,"MRI, fMRI- rsFC"
Berman et al. (???),62.0,25.21,Sexual assault,Adulthood,MRI
"Brown et al., (???)",70.0,32,Interpersonal violence,Adulthood,fMRI: Implicit emotional interference/conflict task
Brown et al. (???),61.0,31.05,Interpersonal violence,Adulthood,"fMRI: Emotion interference/conflict matching task, rsFC"
Buchholz et al. (???),39.0,31.33 (SD = 9.38),Interpersonal violence,Adulthood,fMRI: Emotion interference task
Cisler et al. (???),16.0,33.8 (SD = 10.8),Interpersonal violence,Adulthood,fMRI: trauma memory recall task
"Cisler et al., (???)",40.0,33.26,Interpersonal violence,Adulthood,fMRI: trauma memory recall task
"Cisler et al., (???)",16.0,33.8 (SD = 10.8),Interpersonal violence,Adulthood,fMRI: trauma memory recall task
Crombie et al. (???),121.0,33.15,Interpersonal violence,Adulthood,MRI
"Felmingham et al., (???)",86.0,Not indicated,Mixed (accidents and interpersonal violence),Adulthood,fMRI: fear perception task
Fonzo et al. (???),24.0,Not indicated,IPV,Adulthood,"fMRI: emotional face-matching task, rsFC"
Fonzo et al. (???),33.0,Not indicated,IPV,Adulthood,"fMRI: emotional face processing task, rsFC"
"Graziano et al., (???)",21.0,31.9 (11.04),Mixed interpersonal violence,Adulthood,DTI
"Graziano et al., (???)",78.0,31.45,Mixed interpersonal violence,Adulthood,DTI
Jovanovic et al. (???),41.0,39.2,"Mixed, specific type not indicated",Not indicated,fMRI: Go/No go task
Landre et al. (???),34.0,24.8,Sexual abuse,Adulthood,MRI
Moser et al. (???),35.0,33.49,Interpersonal violence,Adulthood,fMRI: separation task
Moser et al. (???),48.0,33.6 (5.4),Interpersonal violence,Adulthood,fMRI: separation task
Neumeister et al. (???),36.0,26.47,Interpersonal violence,Adulthood,fMRI: trauma-related picture processing task
Neumeister et al. (???),38.0,26.84,Interpersonal violence,Adulthood,fMRI: trauma related word-processing task
New et al. (???),42.0,36.3,Sexual abuse,Adulthood,fMRI: explicit emotion regulation task
Philippi et al. (???),71.0,31.93 (9.39),Interpersonal violence,Adulthood,"fMRI: Self-related impact coding task, rsFC"
"Privratsky et al., (???)",65.0,33.7 (9),Not indicated,Not indicated,fMRI: fear conditioning and extinction task
Ross et al. (???),29.0,31.17,Interpersonal violence,Adulthood,fMRI: reinforcement learning task
Sartin-Tarm et al. (???),43.0,30.8 (8.2),Interpersonal violence,Adulthood,fMRI: fear conditioning and extinction task
Satterthwaite et al. (???),105.0,31.22,IPV,Adulthood,fMRI: rsFC
Schechter et al. (???),45.0,26.18,Interpersonal violence,Adulthood,fMRI: maternal separation task
Schechter et al. (???),59.0,34.2 (5.7),Interpersonal violence,Adulthood,fMRI: maternal separation task
Simmons et al. (???),30.0,35.73,IPV,Adulthood,fMRI: cued anticipation task
Simmons et al. (???),30.0,34.58,IPV,Adulthood,fMRI: cued anticipation task
Stevens et al. (???),40.0,38.4,Mixed,Adulthood,fMRI: emotion regulation fear and neutral face processing task
"Strigo et al., (???)",38.0,35.62,IPV,Adulthood,fMRI: experimental pain paradigm task
Vatheuer et al. (???),99.0,29.38,Not specified,Not specified,MRI
"Weaver et al., (???)",19.0,,Interpersonal violence,Adulthood,fMRI: emotional conflict task
"Weaver et al., (???)",61.0,32.34,Interpersonal violence,Adulthood,fMRI: reward-punishment contingency task
"Bluhm et al., (???)",32.0,38.53,Childhood maltreatment,Childhood,fMRI: Free thinking task
"Chalavi et al., (???)",61.0,42,"Childhood maltreatment, Adult IPV",Childhood,MRI
"Chalavi et al., (???)",65.0,39.48,Childhood maltreatment,Childhood,MRI
Frewen et al. (???),30.0,37.22 (7.00),"Childhood maltreatment, interpersonal violence",Childhood,fMRI: emotional imagery/numbing task
Frewen et al. (???),44.0,30.86,Childhood maltreatment,Childhood,fMRI: visual-verbal self-other referential processing task
"Kitayama et al., (???)",18.0,37.3,Childhood maltreatment,Childhood,MRI
Lebois et al. (???),65.0,34.37 (12.2),Childhood maltreatment,Childhood,"fMRI: interference, masked faces, and rest tasks"
Ludascher et al. (???),25.0,28.38,Childhood maltreatment,Childhood,fMRI: Dissociation-script task
Sierk et al. (???),42.0,40.12,Childhood maltreatment,Childhood,fMRI Diffusion MRI
Steuwe et al. (???),32.0,32.06 (12.03),Childhood maltreatment,Childhood,fMRI: eye contact task
"Steuwe et al., (???)",32.0,32.06,Childhood maltreatment,Childhood,fMRI: eye contact task
Tomoda et al. (???),37.0,19.75,Childhood sexual abuse,Childhood,MRI
Veer et al. (???),24.0,27.5,Childhood maltreatment,childhood,MRI
Child/adolescent samples,,,,,
"Cisler et al., (???)",34.0,13,Childhood maltreatment,Childhood/ Adolescence,fMRI: implicit threat processing
DeBellis and Keshavan (???),183.0,11.72,Childhood maltreatment,Childhood/ Adolescence,MRI
Klabunde et al. (???),59.0,13.9,Interpersonal violence,Childhood,MRI
Letkiewicz et al. (???),60.0,15.3,Interpersonal violence,Adolescence,fMRI: reinforcement learning task
"Ross et al., (???)???",253.0,14.7 (1.9),Childhood maltreatment,Adolescence,MRI
