Node-level FC metric,ROIs,Z-statistics,p-values
Strength of positive weights,Frontal Inf Orb L,Z = 1.2159,n.s
Strength of positive weights,Frontal Inf Orb R,Z = 1.7323,p = 0.0416
Strength of positive weights,"Amygdala, R",Z = 1.4793,n.s
Strength of positive weights,Occipital Inf L,Z = 0.3426,n.s
Strength of positive weights,Paracentral Lobule L,Z = 0.9264,n.s
Strength of positive weights,Paracentral Lobule R,Z = 0.9295,n.s
Strength of positive weights,Heschl L,Z = 0.8185,n.s
Strength of positive weights,Temporal Pole Sup R,Z = 1.2350,n.s
Strength of positive weights,Temporal Pole_Mid L,Z = 0.4449,n.s
Strength of negative weights,Cingulum Ant R,Z = 1.1804,n.s
Strength of negative weights,Cingulum Mid L,Z = 1.3585,n.s
Strength of negative weights,Cingulum Mid R,Z = 0.8367,n.s
Strength of negative weights,Parietal Inf L,Z = 0.5618,n.s
Strength of negative weights,Precuneus L,Z = 0.6659,n.s
Strength of negative weights,Temporal_Inf_R,Z = 4.2472,p < 0.001
Degree,Precentral R,Z = 1.0946,n.s
Degree,Olfactory L,Z = 0.8336,n.s
Degree,ParaHippocampal R,Z = 0.2017,n.s
Degree,Amygdala R,Z = 2.0414,p = 0.0206
Degree,Lingual R,Z = 0.9892,n.s
Degree,Fusiform L,Z = 0.4646,n.s
Degree,Postcentral R,Z = 0.7843,n.s
Degree,Paracentral Lobule L,Z = 1.2837,n.s
Degree,Temporal Mid L,Z = 0.4837,n.s
Degree,Temporal Inf R,Z = 0.9516,n.s
Local efficiency,Rolandic Operculum L,Z = 0.5786,n.s
Local efficiency,Insula L,Z = 0.7832,n.s
Local efficiency,Temporal Mid L,Z = 1.2738,n.s
Clustering coefficient,Frontal Mid Orb R,Z = 1.6853,p = 0.0406
Clustering coefficient,Rolandic Operculum L,Z = 0.6179,n.s
Clustering coefficient,Insula R,Z = 0.9402,n.s
Clustering coefficient,Cuneus R,Z = 1.0720,n.s
Clustering coefficient,Paracentral Lobule L,Z = 0.5233,n.s
Clustering coefficient,Caudate_L,Z = 0.9640,n.s
Betweenness centrality,Frontal Mid Orb R,Z = 0.7991,n.s
Betweenness centrality,Lingual L,Z = 0.6765,n.s
Betweenness centrality,Parietal Sup R,Z = 0.7678,n.s
Betweenness centrality,Temporal Pole Sup L,Z = 0.0919,n.s
