Node-level FC metric,ROI,"A, D, E",\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$${H}_{ADE}^{2}$$\end{document}HADE2
Nodal strength of positive weights,Precentral R,"A = 7.86%, D = 8.64%, E = 83.50%",16.49%
Nodal strength of positive weights,Lingual R,"A = 14.15%, D = 8.75%, E = 77.10%",22.90%
Nodal strength of positive weights,Occipital Mid R,"A = 0.32%, D = 9.89%, E = 89.79%",10.20%
Nodal strength of positive weights,Occipital Inf R,"A = 24.22%, D = 13.74%, E = 62.03%",37.96%
Nodal strength of positive weights,Fusiform L,"A = 9.77%, D = 14.32%, E = 75.91%",24.08%
Nodal strength of positive weights,Temporal Pole Sup L,"A = 14.14%, D = 2.81%, E = 83.06%",16.94%
Nodal strength of positive weights,Temporal_Pole_Mid_R,"A = 1.71%, D = 59.75%, E = 38.54%",61.45%
Nodal strength of negative weights,Rectus R,"A = 46.19%, D = 15.72%, E = 38.09%",61.91%
Nodal strength of negative weights,Occipital Sup L,"A = 11.26%, D = 20.81%, E = 67.93%",32.07%
Nodal degree,Amygdala L,"A = 8.95%, D = 0.55%, E = 90.50%",9.49%
Nodal degree,Fusiform R,"A = 2.54%, D = 43.39%, E = 54.07%",45.93%
Nodal degree,Temporal Pole Mid R,"A = 25.43%, D = 12.20%, E = 62.37%",37.63%
Local efficiency,Calcarine L,"A = 4.57%, D = 24.74%, E = 70.69%",29.30%
Local efficiency,Cuneus L,"A = 4.69%, D = 13.27%, E = 82.05%",17.95%
Local efficiency,Lingual L,"A = 5.28%, D = 22.96%, E = 71.77%",28.23%
Local efficiency,Paracentral Lobule L,"A = 15.20%, D = 6.24%, E = 78.56%",21.44%
Local efficiency,Caudate L,"A = 3.24%, D = 36.84%, E = 59.92%",40.08%
Local efficiency,Pallidum R,"A = 16.28%, D = 37.77%, E = 45.95%",54.04%
Local efficiency,Temporal Pole Mid L,"A = 11.31%, D = 26.39%, E = 62.29%",37.70%
Clustering coefficient,Insula L,"A = 15.21%, D = 19.07%, E = 65.71%",34.28%
Clustering coefficient,ParaHippocampal L,"A = 3.33%, D = 5.73%, E = 90.94%",9.06%
Clustering coefficient,Calcarine L,"A = 4.06%, D = 24.12%, E = 71.82%",28.18%
Clustering coefficient,Cuneus L,"A = 1.73%, D = 16.24%, E = 82.02%",17.98%
Clustering coefficient,Fusiform R,"A = 27.02%, D = 11.14%, E = 61.83%",38.16%
Clustering coefficient,Pallidum R,"A = 2.72%, D = 47.53%, E = 49.75%",50.24%
Clustering coefficient,Temporal Pole Mid L,"A = 5.08%, D = 34.66%, E = 60.26%",39.74%
Clustering coefficient,Temporal Inf L,"A = 28.22%, D = 23.97%, E = 47.82%",52.18%
Betweenness centrality,Putamen L,"A = 43.42%, D = 8.84%, E = 47.74%",52.26%
Betweenness centrality,Thalamus R,"A = 38.35%, D = 10.91%, E = 50.74%",49.25%
