Unnamed: 0_level_0,MDD,MDD,HC,HC,Statistical values
Unnamed: 0_level_1,Mean,SD,Mean,SD,Unnamed: 5_level_1
Sex (m/f),17/17,,36/42,,χ(1)2 = 0.141; p = 0.71
Age (years),37.4,9.9,37.3,7.2,t(110) = 0.093; p = 0.93
Education (years),15.7,2.2,15.1,2.0,t(101) = 1.357; p = 0.18
eIQ,112,8.0,107.5,9.3,t(110) = 2.440; p = 0.02
CESD,20,14.0,8.1,5.2,t(29.7)∗= 4.391; p < 0.001
SSS,2.74,0.51,2.54,0.73,t(88.3)∗= 1.631; p = 0.11
HAMD,7.12,6.29,,,
GAF,57.4,16.4,,,
IMP,96.5,151.9,,,
CP,48.1,105.1,,,
DZP,4.9,8.7,,,
