Subject ID,MNI Coordinate,MNI Coordinate,MNI Coordinate,T value,P value (uncorrected)
Subject ID,X,Y,Z,T value,P value (uncorrected)
Sub001,11,12,35,2.74,<0.01
Sub002,14,13,41,2.09,<0.05
Sub003,2,23,31,2.41,<0.05
Sub004,9,30,39,2.11,<0.05
Sub005,9,8,34,4.24,<0.0001
Sub006,10,23,40,7.63,<0.0001
Sub007,9,23,33,2.68,<0.01
Sub008,11,22,35,3.98,<0.0001
Sub009,11,13,35,2.35,<0.05
Sub010,11,13,46,5.86,<0.0001
Sub011,10,23,25,6.93,<0.0001
Sub012,11,18,35,2.18,<0.05
Sub013,10,17,39,6.41,<0.0001
Sub014,13,19,31,2.52,<0.05
Sub015,10,29,38,2.84,<0.01
Sub016,10,12,46,2.29,<0.05
Sub017,4,26,35,2.71,<0.01
Sub018,11,8,32,2.48,<0.05
Sub019,11,13,47,8.86,<0.0001
Sub020,8,28,26,3.47,<0.001
Sub021,9,15,45,6.89,<0.0001
Sub022,6,20,42,2.84,<0.01
Sub023,10,20,48,7.94,<0.0001
Sub024,12,16,44,8.42,<0.0001
Mean ± SD,9.7 ± 2.6,18.5 ± 6.4,37.6 ± 6.4,,
