Unnamed: 0,FIDA,C,p value
Sex (%),M (60),M (42),0.07
Age (years),22.2 ± 1.1,22.6 ± 1.5,0.29
Intelligence quotient (10 years of age),92.6 ± 11.3,93.1.2 ± 9.7,0.82
Socioeconomic status,34.5 ± 13.4,34.8 ± 5.5,0.08
Mother’s education (years),9.3 ± 2.5,9.8 ± 2.8,0.39
Mother’s age (at birth),26.70 ± 6.5,24.7 ± 5.7,0.14
Iron status,,,
Hematocrit (6 months) %,32.9 ± 1.8,36.1 ± 2.3,< 0.001
Hemoglobin (6 months) 100 g/L,103.2 ± 8.1,122.8 ± 9.1,< 0.001
Ferritin (6 months) ng/mL,7.1 ± 7.7,19.2 ± 14.9,< 0.001
