Unnamed: 0,HC (n = 47),AD (n = 50),bvFTD (n = 14),p value
Age (years),55.47–76.00 (63.20 ± 5.00),53.58–73.85 (65.45 ± 5.87),55.44–74.28 (62.05 ± 5.47),–
Gender (M/F),22/25,23/27,3/11,–
Ethnicity (C/M/I/E/O),45/0/2/0/0,41/4/2/1/2,11/2/0/1/0,–
Education (years),13.47 (3.57),9.04 (3.84) h,8.79 (2.30) h,<.001*
Handedness (R/L/A),45/1/1,48/0/2,13/1/0,–
CDR-global,0 (0),0.76 (0.41) h,0.92 (0.47) h,<.001*
MoCA,28.15 (1.59),17.32 (6.47) h,17.29 (6.66) h,<.001*
MMSE,29.02 (1.15),20.82 (5.66) h,21.21 (6.72) h,<.001*
Episodic,0.34 (0.61),−3.80 (1.51) h,−2.54 (1.58) ha,<.001*
Executive,0.74 (0.34),−1.48 (1.87) h,−2.10 (2.23) h,<.001*
Attention/working memory,0.38 (0.96),−0.28 (1.03) h,−0.63 (1.06) h,<.001*
Language,0.53 (0.62),−0.78 (1.46) h,−1.65 (1.51) ha,<.001*
VisuoSpatial,0.75 (0.79),−0.83 (0.98) h,−1.14 (0.89) h,<.001*
NPI score,0.45 (1.34),2.76 (2.80),9.10 (7.90) ha,<.001*
