Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Peak MNI,Peak MNI,Peak MNI,Unnamed: 7_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,"coordinates,","coordinates,","coordinates,",Unnamed: 7_level_1
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,mm,mm,mm,Unnamed: 7_level_2
Unnamed: 0_level_3,Unnamed: 1_level_3,Unnamed: 2_level_3,Cluster,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3,Unnamed: 7_level_3
Unnamed: 0_level_4,Brain regions,BA,size,x,y,z,T
Baseline,Left precuneus,7,"10,405",–6,–63,63,15.79
,Right precuneus,5,–,3,–54,51,14.63
,Right precuneus,7,–,6,–69,57,13.02
4-year,Left calcarine,18,9694,–9,–96,–6,14.86
follow-up,Left inferior occipital,19,–,–51,–69,–15,12.96
,Right inferior temporal,37,–,51,–60,–21,11.6
