Network,Brain regions,p-values,p-values,p-values,p-values,p-values,p-values,MNI-coordinates,MNI-coordinates,MNI-coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,BC,DC,NCp,Ne,NLe,NLp,X (mm),Y (mm),Z (mm)
DMN,mPFC,0.412,0.657,↓0.042???,0.901,0.069,0.365,0,51,32
,Precuneus_L,0.123,↑0.002???,0.826,↓0.003???,0.58,↑0.002???,–3,–38,45
,Inf temporal_L,0.618,↑0.003???,0.145,↑0.002???,0.051,0.155,–61,–41,–2
,Post Cingulate_L,0.167,↓0.014???,0.887,↓0.022???,0.539,↑0.029???,–5,–52,17
,Precuneus_R,0.388,0.853,0.068,0.647,↓0.04???,0.398,11,–68,42
,IPS_L,0.076,↓0.04???,0.704,↓0.04???,0.739,0.419,–36,–69,40
,Occipital_L1,↓0.003???,0.445,0.722,0.364,0.616,0.358,–9,–72,41
,Occipital_L2,0.694,0.718,↓0.03???,0.571,↓0.03???,0.584,–42,–76,26
FPN,dlPFC_R,0.069,0.087,0.604,0.065,0.91,↑0.035???,40,36,29
,ACC_L,0.259,0.074,0.421,0.08,0.293,↑0.01???,–1,28,40
,dFC_R,↑0.031???,0.39,0.685,0.417,0.679,0.354,40,17,40
CON,aPFC_R,0.248,0.333,↑0.047???,0.345,0.05,0.433,27,49,26
,Med insula.L,0.705,0.219,↓0.04???,0.18,↓0.015???,0.132,–30,–14,1
,Fusiform_R,0.236,0.072,0.491,0.101,0.615,↑0.038???,54,–31,–18
,Parietal_L1,↓0.012???,0.348,0.306,0.276,0.544,0.587,–55,–44,30
SMN,vFC_R,0.063,0.057,0.329,↓0.048???,0.153,0.914,43,1,12
,Parietal_L2,0.074,↓0.017???,0.617,↓0.026???,0.291,0.206,–38,–15,59
,Parietal_L3,↓0.016???,0.054,0.885,0.067,0.732,0.066,–47,–18,50
,Parietal_L4,↓0.024???,0.507,0.101,0.497,0.156,0.343,–55,–22,38
,Temporal_L,↓0.008???,0.226,0.589,0.178,0.977,0.241,–54,–22,9
OCC,Occipital_R1,0.3,↓0.014???,0.828,↓0.028???,0.831,0.286,36,–60,–8
,Occipital_R2,0.906,0.054,0.645,↓0.047???,0.567,0.054,20,–78,–2
CBN,Lat cerebellum_R,↑0.025???,↑0.041???,0.894,↑0.039???,0.669,0.057,21,–64,–22
,Inf cerebellum_L,↑0.045???,↑0.019???,0.369,↑0.01???,0.526,↓0.022???,–34,–67,–29
,inf cerebellum_R,0.057,0.076,0.976,0.115,0.94,↓0.041???,33,–73,–30
,Med cerebellum_R1,↑0.011???,↑0.017???,0.161,↑0.008???,0.275,0.251,5,–75,–11
,Med cerebellum_R2,0.155,0.167,↓0.019???,0.125,↓0.043???,0.093,14,–75,–21
