Paper,Subjects,Etiology,Sex (F),Age (Mean),Reference,Foci,Imaging Modality,Contrast,Task Category,Modality,Task Type
Task-based studies,,,,,,,,,,,
"Fernández-Espejo et al., 2010 [???]",1 UWS,TBI,0,48,MNI,2,fMRI,For > back; listen > silence,passive,auditory,sentences listening
"Liang et al., 2014 [???]","5 (2UWS, 3 MCS)",TBI,2,42.8,MNI,10;6;11;4,fMRI,Listen > rest; Navigation > rest; counting > rest; face > rest,active and passive,auditory,spoken sentenses and motor/mental imagery
"Monti et al., 2013 [???]",1 MCS,TBI,---,---,MNI,33,fMRI,no contrast,passive,auditory,visual stimulation
"Owen et al., 2002 [???]",3 UWS,acute febrile illness; TBI; cardiorespiratory arrest,3,28,MNI,8,PET,visual stimulation; familiar face perception; speech perception,passive,visual and auditory,visual stimulation
"Marino et al., 2017 [???]","50 (23 UWS, 27 MCS)","TBI, anoxic brain injury; cerebro-vascular accident",,50,MNI,12,fMRI,no contrast,passive,auditory,sentences listening
"Laureys et al., 2000 [???]",5 UWS,hypoxic origin,3,44,TAL,4;8,PET,no contrast; DOC<HC,passive,auditory,click
Resting-State Studies,,,,,,,,,,,
"Bruno et al., 2010 [???]",10 UWS,cronic post-anoxic enephalopathy,2,44.3,MNI,16,PET,DOC < HC,,,
"Bruno et al., 2012 [???]",27 MCS,anoxia; TBI; subarachnoidhemorrhage; encephalitis; hypoglycemia; cerebro-vascular accident,10,45,MNI,40,PET,DOC < HC,,,
"Demertzi et al., 2014 [???]","53 (5coma, 24 UWS, 24 MCS)",brain insult,23,50,MNI,50,fMRI,DOC < HC,,,
"He et al., 2014 [???]","12 (9 UWS, 3MCS)",TBI; cerebro-vascular accident; anoxic brain injury,4,44.7,MNI,8;8,fMRI,DOC < HC; DOC > HC,,,
"Kim et al., 2010 [???]",12 UWS,anoxic brain injury,5,41.7,MNI,4;3,PET,DOC < HC; DOC > HC,,,
"Kim et al., 2013 [???]",17 MCS,hypoxic-ischemic brain injury,8,40.5,MNI,16;5,PET,DOC < HC; DOC > HC,,,
"Koenig et al., 2014 [???]",17 coma,cardio-pulmunary arrest,3,55,TAL,3,fMRI,DOC < HC,,,
"Nakayama et al., 2006 [???]","30 (17 UWS, 13 MCS)",TBI,11,30,TAL,13;10,PET,DOC < HC,,,
"Norton et al., 2012 [???]","13 (11 irreversible coma, 2 reversible coma)",cardiac arrest,5,66.3,MNI,16,fMRI,DOC < HC,,,
"Soddu et al., 2016 [???]","15 (11 UWS, 4 LIS)",anoxia; cerebro-vascular accident; TBI; hypoglycemia; occlusion basilar artery,10,45,TAL,17,PET/fMRI,DOC < HC,,,
"Thibault et al., 2012 [???]","70 (24 UWS, 28 MCS, 10 EMCS,8LIS)",TBI; cardiac arrest; stroke; intoxication; anoxia; hydrocephali; meningitisencephalopathy; aneurysm,27,43.9,MNI,8;4,PET,DOC < HC,,,
