Variable,Pain group,Control group
Sex (M/F),14/6,14/2
Mean age (SD),21.05 (9.01),28.75 (6.01)
Tetraplegic,11,11
Paraplegic,9,5
Mean time since SCI in months (SD),95.25 (86.25),89 (62.09)
Method of injury,Method of injury,Method of injury
Vehicular,11,10
Fall,2,1
Sports,7,4
Other,0,1
Mean HADS anxiety score (SD)???,6.65 (3.36),2.18 (1.80)
Mean HADS depression score (SD)???,5.05 (5.05),1.94 (1.70)
Mean NPSI maximum subscore (SD),5.66 (1.94),0
Mean NPRS at scan time (SD),3.45 (1.65),0
Mean BPI severity score (SD),3.93 (1.83),0
Mean BPI interference score (SD),3.59 (2.85),0
