Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,P-value
Items,Side,TNH (n = 16),HC (n = 15),(TNH/NC)
PAC,Left,1.136 ± 0.267,1.041 ± 0.073,
PAC,Right,1.079 ± 0.161,0.990 ± 0.061,
P-value (L/R),,0.472,0.048,
HAC,Left,0.844 ± 0.120,0.707 ± 0.046,
HAC,Right,0.952 ± 0.214,0.871 ± 0.044,
P-value (L/R),,0.093,0.001,
HAC ratio (L/R),,0.926 ± 0.214,0.813 ± 0.066,0.059
PAC ratio (L/R),,1.053 ± 0.170,1.053 ± 0.069,0.993
