Cognitive domains,rTMS group,rTMS group,Control group,Control group
Unnamed: 0_level_1,Before,After,Before,After
Memory (n),15,13,15,12
Attention (n),12,10,11,9
Orientation (n),10,7,12,10
Visuoconstructional skill (n),15,14,15,15
Executive ability (n),15,15,15,14
Abstraction ability (n),15,14,14,14
MMSE,18.67 ± 3.90???,23.53 ± 3.23,19.13 ± 3.48,20.60 ± 3.16
Total score,,,,
MoCA,20.47 ± 2.80???,24.40 ± 2.35,20.93 ± 3.04,21.80 ± 2.76
t-value/p,0.346/0.732???,0.438/0.665???,15.128/ < 0.001???,15.849/ < 0.001???
,6.813/ < 0.001???,3.389/0.004???,2.516/0.018???,2.778/0.01???
