Variables,HC (n = 28),ADHD (n = 30),p-values
"Age, mean ± SD",8.6 ± 0.97,8.6 ± 0.56,0.11a
Sex (male),28,30,
"Grade, mean ± SD",3 ± 0.83,2.6 ± 0.56,0.02a
"FD, mean ± SD",0.05 ± 0.02,0.06 ± 0.02,0.6a
"IQ scores, mean ± SD",108.6 ± 10.81,84.3 ± 9.37,<0.001a
"Working memory, mean ± SD",19.5 ± 3.10,9.95 ± 2.11,<0.001a
"Behavioral problems, mean ± SD",1.12 ± 0.45,0.50 ± 0.40,<0.001a
"Anxiety score, mean ± SD",0.54 ± 0.35,0.12 ± 0.10,<0.01a
"Learning problems, mean ± SD",1.15 ± 0.5,0.45 ± 0.30,<0.01a
"Psychosomatic disorder, mean ± SD",0.21 ± 0.18,0.12 ± 0.30,0.51a
"IS(time), mean ± SD",18.2 ± 8.5,9 ± 3.5,<0.01a
Number of social contacts,3.2± 0.80,2.98± 0.82,<0.1a
Quality of social contacts-family,3.45 ± 1.07,3.34 ±1.04,<0.1a
Quality of social contacts-friends,3.78 ± 1.50,4.10 ± 1.28,
Problems with social relations with their peers,3.00 ± 2.19,3.04 ± 2.80,<0.1a
