Site out,Size,Accuracy,Confidence interval,Specificity,Sensitivity,F-score
CALTECH,37,0.54,0.16,0.42,0.66,0.58
CMU,27,0.7,0.17,0.71,0.69,0.69
KKI,48,0.72,0.12,0.95,0.57,0.71
LEUVEN,63,0.65,0.12,0.37,0.88,0.73
MAX MUN,52,0.46,0.13,0.45,0.46,0.48
NYU,175,0.65,0.07,0.41,0.84,0.73
OHSU,26,0.57,0.19,0.66,0.5,0.56
OLIN,34,0.58,0.16,0.57,0.6,0.56
PITT,56,0.69,0.12,0.51,0.88,0.73
SBL,30,0.56,0.18,0.4,0.73,0.62
SDSU,36,0.75,0.14,0.64,0.81,0.8
STANFORD,39,0.48,0.16,0.94,0.05,0.09
TRINITY,47,0.61,0.14,0.63,0.6,0.62
UCLA,98,0.69,0.09,0.72,0.65,0.65
UM,140,0.66,0.08,0.95,0.4,0.56
USM,71,0.77,0.09,0.8,0.72,0.69
YALE,56,0.69,0.12,0.82,0.57,0.65
Mean,61,0.63,0.13,0.64,0.62,0.61
