Site out,Accuracy,Specificity,Sensitivity,F-score
CALTECH,0.7,0.89,0.5,0.62
CMU,0.74,0.71,0.77,0.74
KKI,0.75,0.95,0.61,0.74
LEUVEN,0.63,0.34,0.88,0.72
MAX MUN,0.54,0.54,0.54,0.55
NYU,0.68,0.66,0.69,0.71
OHSU,0.73,0.58,0.86,0.77
OLIN,0.68,0.68,0.67,0.64
PITT,0.7,0.55,0.85,0.73
SBL,0.53,0.4,0.67,0.59
SDSU,0.72,0.64,0.77,0.77
STANFORD,0.61,0.94,0.3,0.44
TRINITY,0.57,0.72,0.44,0.52
UCLA,0.75,0.76,0.75,0.73
UM,0.76,0.8,0.72,0.76
USM,0.79,0.85,0.68,0.69
YALE,0.71,0.75,0.68,0.7
Mean,0.68,0.69,0.67,0.67
