Unnamed: 0,n,%
,,
Gender,,
male/female,50/30,63/37
Age (years),,
25–30,3,4
30–40,10,13
40–50,20,25
50–60,26,33
60–70,15,19
70–80,5,6
81,1,1
Performance Status (ECOG Scale),,
ECOG 0,36,45
ECOG 1,37,46
ECOG 2,6,8
ECOG 3,1,1
Tumor Type,,
"Glioblastoma, IDH wildtype",46,58
"Glioblastoma, IDH mutant",8,10
"Glioblastoma, NOS",3,4
"Anaplastic astrocytoma, IDH wildtype",4,5
"Anaplastic astrocytoma, IDH mutant",7,9
"Anaplastic astrocytoma, NOS",4,5
"Anaplastic Oligodendroglioma, IDH mutant, 1p/19q co-deleted",8,10
Tumor Location,,
frontal left/frontal right,19/19,24/24
parietal left/parietal right,5/5,6/6
temporal left/temporal right,14/12,18/15
occipital left/occipital right,5/1,6/1
Primary Treatment#,,
Resection + RT + TMZ/CCNU/PC,58,70
Biopsy + RT + TMZ/CCNU/PC,10,13
Resection + RT,5,6
Resection alone,6,8
Biopsy + RT,1,1
Total Number of Oncologic Interventions*,,
1,6,8
2,3,4
3,61,76
4,2,3
5,6,8
7,2,3
Recurrence diagnosed by FET PET,,
no/yes,43/37,54/46
Neurological Symptoms,,
,25,31
Paresis,19,23
Aphasia,15,19
Fatigue,10,13
Visual Field Defect,7,9
"Vertigo, confusion",4,5
Employed,,
yes/no,60/20,75/25
Imaging follow-up interval (months),,
0–12,38,48
12–24,18,22
24–60,16,20
>60,8,10
,Median,Range
Lesion Size (ml),129.0,17.3–496.2
Radiation Dose (Gy),60.0,40.0–60.0
