Behavioral tests samples,Behavioral tests samples,Behavioral tests samples,Behavioral tests samples,Behavioral tests samples
Unnamed: 0_level_1,PROTAIA,PROTAIA,MAVAN,MAVAN
Unnamed: 0_level_2,Controls$ (n=55),SGA$ (n=15),Controls (n=268),SGA (n=47)
Male???,21 (38.2%),6 (40.0%),142 (52.98%),23 (48.93%)
White color???,36 (66.7%),11 (73.3%),189 (76.20%),35 (77.77%)
Anxious???,24 (43.6%),9 (60.0%),———–,———–
Age (years)???,17.62 ± 0.32,17.08 ± 0.60,4.06 ± 0.01,4.05 ± 0.01
Birth weight (g)???,3286.55 ± 59.80,2457.33 ± 89.63*,3495.83 ± 24.18,2735.95 ± 36.38**
BMI???,23.62 ± 0.62,21.71 ± 1.10,16.09 ± 0.09,16.09 ± 0.32
BMI Z score???,0.60 ± 0.16,0.03 ± 0.32,0.53 ± 0.06,0.48 ± 0.19
Gestational age???,40.0 (38.0-40.0),40.0 (37.0-40.0),39.0 (38.0-40.0),39.0 (39.0-40.0)
SES???,16.71 ± 0.66,18.39 ± 1.57,65 (24.8%),11 (24.4%)
"Maternal education???,???",11 (30.6%),3 (33.3%),55 (20.52%),9 (19.56%)
Resting-state fMRI connectivity samples,Resting-state fMRI connectivity samples,Resting-state fMRI connectivity samples,Resting-state fMRI connectivity samples,Resting-state fMRI connectivity samples
,Controls&(n=33),SGA&(n=7),Controls(n=35),SGA(n=14)
Male???,15 (45.5%),4 (57.1%),17 (48.6%),6 (42.9%)
White color???,20 (62.5%),5 (71.4%),27 (79.41%),11 (78.57%)
Anxious???,11 (33.3%),4 (57.1%),————–,————
Age (years)b,17.72 ± 0.41,17.91 ± 0.99,10.1 ± 0.18,10.5 ± 0.17
Birth weight (g)b,3344.39 ± 62.15,2631.43 ± 63.75*,3363 ± 57.6,2624 ± 69.0**
BMIb,23.12 ± 0.64,21.67 ± 1.85,17.23 ± 0.55,17.89 ± 1.05
BMI Z scoreb,0.50 ± 0.17,-0.10 ± 0.56,-0.01 ± 0.16,0.19 ± 0.31
Gestational agec,40.0 (37.0-40.0),40.0 (40.0-40.0),39.0 (38.0-40.0),39.0 (39.0-40.0)
SESd,17.75 ± 0.91,16.00 ± 1.98,8 (25%),2 (16.6%)
"Maternal educationa,e",10 (45.5%),0 (0.0%),9 (25.7%),4 (28.6%)
