Unnamed: 0_level_0,PROTAIA,PROTAIA,MAVAN,MAVAN
Variables,Controls (n=55),SGA (n=15),Controls (n=268),SGA (n=47)
Amount spent (R$),8.54 ± 0.27,7.22 ± 0.52 *,————,————
Energy (kcal),554.89 ± 27.16,480.01 ± 52.61,334.86 ± 9.1,301.55 ± 12.35
CHO (g),69.91 ± 3.75,63.37 ± 7.27,40.40 ± 1.26,37.33 ± 2.09
CHO (% total kcal),51.12 ± 1.50,52.65 ± 2.91,49.00 ± 1.00,50.00 ± 2.00
Sugar (g),31.37 ± 2.95,30.16 ± 5.71,22.31 ± 0.72,20.4 ± 1.15
Fiber (g),2.74 ± 0.24,2.37 ± 0.46,1.93 ± 0.11,1.93 ± 0.18
PTN (g),17.76 ± 1.31,12.65 ± 2.53,12.21 ± 0.38,11.09 ± 0.54
PTN (% total kcal),12.35 ± 0.67,10.57 ± 1.30,15.00 ± 0.00,15.00 ± 1.00
FAT (g),23.15 ± 1.31,19.91 ± 2.54,13.62 ± 0.49,11.86 ± 0.63
FAT (% total kcal),37.18 ± 1.17,37.24 ± 2.26,36.00 ± 1.00,35.00 ± 1.00
