Variable,iTBS,Placebo,t/χ2,P value
Demographic,Demographic,Demographic,Demographic,Demographic
Gender (M/F),6/6,6/9,0.52,0.60
Age (years),22.27 ± 0.45,22.33 ± 0.91,-0.20,0.84
AQ,130.05 ± 3.37,133.10 ± 3.32,-1.22,0.23
RMT,58.20 ± 6.23,58.67 ± 5.21,-0.22,0.83
Neuropsychological,Neuropsychological,Neuropsychological,Neuropsychological,Neuropsychological
HAMA,5.67 ± 0.65,5.93 ± 0.48,-0.86,0.40
HAMD,3.47 ± 1.48,3.60 ± 0.79,-0.42,0.68
MoCA,29.33 ± 0.37,29.47 ± 0.51,-0.73,0.47
Digit span (forward),9.73 ± 0.32,9.73 ± 0.62,0,>1
Digit span (backward),6.93 ± 0.61,6.93 ± 0.56,0,>1
Stroop color test,11.34 ± 1.63,10.67 ± 1.41,1.51,0.14
Stroop word test,11.64 ± 1.31,10.80 ± 1.32,1.79,0.08
Stroop interference test,18.90 ± 1.62,18.65 ± 1.51,0.40,0.70
Trail making A,27.03 ± 1.79,27.08 ± 1.69,-0.07,0.94
Trail making B,49.96 ± 2.78,49.14 ± 3.62,0.67,0.51
