First author,Year,Title,Journal,Species (n),Age,Structural measure (diffusion),Functional measure,Regions (n),Cortical or subcortical,Inter- or intra-hemispheric,Correlation method,Correlation,p
Honey et al.???,2009,Predicting human resting-state functional connectivity from structural connectivity.,PNAS,Human (5),29.4 ± 3.4 years,Connection density (number of connections per unit surface),Pearson correlation,Low-resolution: 66 High-resolution: 998,Cortical,Both,Pairwise correlation,"1) Low resolution, all connections: 0.66 2) Low resolution, removing absent/inconsistent connections: 0.82 3) High resolution, all connections: 0.36 4) High resolution, removing absent/inconsistent connections: 0.53",All p < 0.001
Skudlarski et al.???,2008,Measuring brain connectivity: diffusion tensor imaging validates resting state temporal correlations.,Neuro Image,Human (41),28 ± 10 years,Weighted sum of connections; with penalizing more indirect pathways,Fisher's Z transformed correlation coefficient,5000,,Both,Pearson r,0.18 ± 0.10 for individual subjects,p < 0.00001 for 39 out of 42 subjects
van den Heuvel et al.???,2015,The neonatal connectome during preterm brain development.,Cerebral Cortex,Human (27),Between week 30 and week 42 of corrected gestational age,Number of streamlines (NOS),Correlation between time series,56,Cortical + amygdala and hippocampus,Both,Pearson correlation,0.31 ± 0.089 (mean ± SD),Not reported
Abdelnour et al.???,2014,Network diffusion accurately models the relationship between structural and functional brain connectivity networks.,Neuro Image,Human (8),Adult,Weighted sum of tracts,Fisher's Z transformed correlations,90,Cortical,Both,Pearson correlation,0.23–0.27 for individual subjects; mean: r = 0.25.,Not reported
Horn et al.???,2014,The structural–functional connectome and the default mode network of the human brain.,Neuro Image,Human (19),26.6 ± 2.98 years,Number or random walks (probabilistic tractography (Prob)) and Number of fibers (global tracking (Global)),Full and Partial correlation,"40,000 voxels",Cortical,Both,Pearson correlation,1) Prob. Full: 0.046 ± 0.018 (0.02–0.08) 2) Global. Full 0.017 ± 0.010 (0.006–0.02) 3) Prob. Partial: 0.024 ± 0.029. 4) Global. Partial 0.015 ± 0.017. (Individual participants),All p < 0.001
Sun et al.???,2014,Disrupted functional brain connectivity and its association to structural connectivity in amnestic mild cognitive impairment and Alzheimer's disease.,PLoS One,Human (14),68.6 ± 8.36 years,Fiber numbers connecting each pair of brain regions,Fisher's Z transformed correlation coefficient,1024,Both,Both,Correlation coefficient,1) All connections: 0.37. 2) Excluding absent structural connections: 0.51.,Not reported
Hagmann et al.???,2008,Mapping the structural core of human cerebral cortex.,PLoS Biology,Human (5),29.4 ± 3.4 years,Deterministic tractography; connection density (number of connections per unit surface),Cross-correlation,66,Cortical,Both,Correlation (R2),0.62,p < 10−10
Ding et al.???,2013,Altered functional and structural connectivity networks in psychogenic non-epileptic seizures.,PLoS One,Human (20),21.85 ± 1.70 years,Connection density,Absolute functional connectivity strength; correlation coefficient,90,Both,Both,Pearson correlation,0.3213 ± 0.0525,Not reported
Hagmann et al.???,2010,White matter maturation reshapes structural connectivity in the late developing human brain.,PNAS,Human (30),18 months – 18 years,Product between connection density & apparent diffusion coefficient (ADC),Pearson correlation,66 and 241,Cortical,Both,Correlation coefficient,1) Young: low resolution: 0.30 2) Young: high resolution: 0.36 3) Old: low resolution: 0.43 4) Old: high resolution: 0.46,All p < 0.001
van den Heuvel et al.???,2013,Abnormal rich club organization and functional brain dynamics in schizophrenia,JAMA psychiatry,Human (45 and 51),1) 28.9 ± 7.9 years 2) 30.2 ± 8.7 years,Streamline count,Correlation between time series,68 cortical and 68 + 14 subcortical,Cortical and both,Both,Correlation analysis,1) Cortical: 0.25 ± 0.048 (mean ± SD) 2) Whole brain: 0.19 ± 0.049 (mean ± SD) 3) Cortical: 0.25 ± 0.062 (mean ± SD) 4) Whole brain: 0.18 ± 0.051 (mean ± SD),Not reported
Reid et al.???,2016,"A cross-modal, cross-species comparison of connectivity measures in the primate brain.",Neuro Image,Human (174 and 96),1) 10–80 years 2) 19–85 years,Probabilistic tractography: Streamline density (amount of tracts divided by distance and region size,Correlation between time series.,80,Cortical + hippocampus and amygdala,Both,Spearman rank correlation,1) 0.65 2) 0.49,Not reported
Zimmermann et al.???,2016,Structural architecture supports functional organization in the human brain at a region wise and network level.,Human brain mapping,Human (47),18–80 years (mean ± SD: 41.49 ± 18.36),"Probabilistic fiber tracking: Number of voxels between a pair of regions, weighted to surface area and corrected for mean tract length",Fisher's Z transformed Pearson’s correlation coefficient,68,Cortical,Both,Spearman’s correlation.,1) Individual subjects: 0.19–0.36 2) Group mean: 0.27 ± 0.04 (mean ± SD),1 and 2) p<0.001 for all subjects 3 and 4) Not reported
