Unnamed: 0,Patients (n = 17),Healthy controls (n = 19),Test statistic,P Value
Age (Mean ± S.D.),30.41 ± 6.78,31.16 ± 6.71,t = .331,p = .743
Gender (Male/Female),12/5,13/6,χ2 = .932,p = .628
GAF Symptom Severity (Mean ± S.D.)GAF Level of Functioning (Mean ± S.D.),73.13 ± 13.1573.44 ± 13.50,,,
Duration of Illness (Mean ± S.D.),6.23 ± 5.21,,,
Age of Onset (Mean ± S.D.),24.38 ± 5.96,,,
Course of Illness (Remitting/Episodic/Continuous),10/4/3,,,
Medicated/Non-Medicated,14/3,,,
CPZ Equivalents (Mean mg ± S.D.),364 ± 3.57,,,
Type of Medication (Olanzapine/Clozapine/Risperidone/Aripiprazole),4/3/4/3,,,
SSPI (Mean ± S.D.),8.88 ± 6.95,,,
