Model type???,Seed name and MNI coordinate,Target common name and MNI coordinate,Atlas,Atlas label name (network or region),p-value,Beta coeff.
Past depression symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Left IFG pars opercularis (−52, 8, 14)",Schaefer,SalVentAttnA,0.439,0.027
Past depression symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Right posterior cingulate gyrus (6, −52, 24)",Schaefer,DefaultA,0.0468???,−0.071
Past depression symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Left postcentral gyrus (−30, −38, 66)",Schaefer,SomMotA,0.462,0.029
Past depression symptom burden (low vs. high),"Vermis VIIIB (0, −65, −45)","Right pre/postcentral gyrus (60, −6, 26)",Schaefer,SomMotB,0.041???,0.070
Past depression symptom burden (low vs. high),"Vermis VIIIB (0, −65, −45)","Left postcentral gyrus (−48, −30, 58)",Schaefer,SomMotA,0.003???,0.102
Past depression symptom burden (low vs. high),"Vermis X (0, −48, −35)","Left lateral amygdala (−26, −2, −22)",Tian,Left lateral amygdala,0.863,0.006
Past mania symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Left IFG pars opercularis (−52, 8, 14)",Schaefer,SalVentAttnA,0.805,−0.009
Past mania symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Right posterior cingulate gyrus (6, −52, 24)",Schaefer,DefaultA,0.156,−0.050
Past mania symptom burden (low vs. high),"Vermis V (0, −48.5, −20)","Left postcentral gyrus (−30, −38, 66)",Schaefer,SomMotA,0.383,0.033
Past mania symptom burden (low vs. high),"Vermis VIIIB (0, −65, −45)","Right pre/postcentral gyrus (60, −6, 26)",Schaefer,SomMotB,0.792,0.009
Past mania symptom burden (low vs. high),"Vermis VIIIB (0, −65, −45)","Left postcentral gyrus (−48, −30, 58)",Schaefer,SomMotA,0.849,0.007
Past mania symptom burden (low vs. high),"Vermis X (0, −48, −35)","Left lateral amygdala (−26, −2, −22)",Tian,Left lateral amygdala,0.742,−0.011
