Metrics,GRF correction,GRF correction,GRF correction,Unnamed: 4_level_0,Cluster Size (voxles),Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Brain region (AAL),Peak intensity (T-score)
Unnamed: 0_level_1,"FWHM (x, mm)","FWHM (y, mm)","FWHM (z, mm)",Minimum cluster sizev,Unnamed: 5_level_1,X,Y,Z,Unnamed: 9_level_1,Unnamed: 10_level_1
pASD>control,,,,,,,,,,
ALFF,5.49,3.63,3.72,10.0,74,−3,21,−18,medial orbitofrontal cortex and rectal gyrus_L,3.77
ReHo,8.35,9.04,8.59,60.0,175,−6,6,60,supplementary motor area_L,4.27
DC,8.87,9.38,8.72,66.0,108,12,18,3,"caudate head_R, extend to amygdala_R &parahippocampa gyrus_R",4.17
FC (ROI-3),11.24,12.83,11.05,121.0,Cluster 1 414,12,−51,−15,cerebellum_R,4.78
,,,,,Cluster 2 382,−54,−45,0,superior temporal gyrus_L,4.37
,,,,,Cluster 3 334,−9,−21,51,supplementary motor area_L,4.27
,,,,,Cluster 4 579,−39,−15,51,precentral gyrus_L,4.45
,,,,,Cluster 5 297,39,−33,66,postcentral gyrus_R,4.67
pASD<control,,,,,,,,,,
FC (ROI-1),8.29,8.68,7.84,54.0,59,6,51,12,anterior cingulate cortex_R,−3.86
FC (ROI-2),8.36,8.78,7.82,54.0,110,0,−72,48,bilateral precuneus,−3.48
