Study,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Methodological aspects,Significant findings,Significant findings,Significant findings
Unnamed: 0_level_1,No. of subjects,Mean Age,Age-range,Task,Statistical Threshold and analysis method,ROI for activation analysis,Contrast,Regions,Recruitment/connectivity in DEP vs HC
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Sad scenes,Ant vlPFC,Lower
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Reappraise > maintain,L Lingual Gyrus,Higher
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Reappraise > maintain,R postCG,Higher
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Reappraise > maintain,R IPL,Higher
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Reappraise > maintain,AMG,Higher
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Positive scenes,dlPFC,Higher
???,MDD = 19 (13 F),26.8,16-59,Cognitive reappraisal task,WB and ROI ROI: CDT p < 0.01 k > 10 WB: CT FWE p < 0.05 k > 47 CDT p < 0.005,AMG,Positive scenes,SMA,Higher
???,MDD = 41 (28 F),16.1,13-17,Cognitive reappraisal task,"WB, ROI and ROI for PPI CT p < 0.05 k by 3dClustSim CDT p < 0.01",AMG,Reappraise > maintain,No group differences in activation reported,No group differences in activation reported
???,MDD = 41 (28 F),16.1,13-17,Cognitive reappraisal task,"WB, ROI and ROI for PPI CT p < 0.05 k by 3dClustSim CDT p < 0.01",AMG,Reappraise > maintain,Group*reappraisal success interaction reported in the dmPFC and dlPFC; greater activation was associated with higher reappraisal success in controls but depressed adolescents,Group*reappraisal success interaction reported in the dmPFC and dlPFC; greater activation was associated with higher reappraisal success in controls but depressed adolescents
